,name,path,barricade
0,501_7f5c40a4a4277bf6e6bfad7679968e3208671eabe5e9199811d836e8e6a4e0821ecdf02f9810c3be2f9435b6d3dd1966ad34864e82de871f6525cb7c5ccceb7f_44.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/501_7f5c40a4a4277bf6e6bfad7679968e3208671eabe5e9199811d836e8e6a4e0821ecdf02f9810c3be2f9435b6d3dd1966ad34864e82de871f6525cb7c5ccceb7f_44.jpg,"[[(18.34, 338.94), (36.87, 344.73), (60.03, 338.36), (44.97, 329.67), (33.97, 277.56), (22.97, 278.72), (31.66, 333.15)], [(204.78, 268.3), (203.04, 242.24), (194.36, 242.82), (195.52, 265.98)], [(247.89, 254.99), (247.55, 231.2), (255.26, 229.86), (258.28, 253.99)], [(14.73, 240.76), (15.19, 235.41), (35.44, 235.64), (36.13, 241.93), (30.78, 241.93), (31.25, 245.65), (36.6, 245.65), (36.83, 248.91), (31.95, 249.6), (31.95, 254.49), (35.44, 254.26), (35.44, 257.98), (14.03, 259.84), (14.03, 254.96), (17.98, 254.26), (18.22, 250.07), (15.19, 249.84), (15.19, 245.42), (19.61, 245.18), (19.15, 242.39), (17.29, 242.39)]]"
1,502_7f5c40a4a4277bf6e6bfad7679968e3208671eabe5e9199811d836e8e6a4e0821ecdf02f9810c3be2f9435b6d3dd1966ad34864e82de871f6525cb7c5ccceb7f_70.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/502_7f5c40a4a4277bf6e6bfad7679968e3208671eabe5e9199811d836e8e6a4e0821ecdf02f9810c3be2f9435b6d3dd1966ad34864e82de871f6525cb7c5ccceb7f_70.jpg,"[[(71.44, 312.07), (76.07, 308.6), (75.49, 263.44), (86.49, 264.59), (91.12, 305.7), (95.75, 309.18), (89.96, 314.97)], [(432.74, 323.07), (436.79, 319.6), (441.42, 273.86), (455.9, 275.02), (457.06, 321.92), (461.69, 325.97), (461.69, 330.02), (433.32, 331.76)], [(391.85, 270.89), (394.57, 269.34), (395.54, 247.62), (402.91, 247.82), (403.68, 270.5), (406.01, 273.03), (392.82, 273.03)]]"
2,503_7f5c40a4a4277bf6e6bfad7679968e3208671eabe5e9199811d836e8e6a4e0821ecdf02f9810c3be2f9435b6d3dd1966ad34864e82de871f6525cb7c5ccceb7f_85.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/503_7f5c40a4a4277bf6e6bfad7679968e3208671eabe5e9199811d836e8e6a4e0821ecdf02f9810c3be2f9435b6d3dd1966ad34864e82de871f6525cb7c5ccceb7f_85.jpg,"[[(194.3, 281.67), (197.38, 256.26), (205.47, 255.43), (205.75, 279.44)], [(455.0, 287.0), (459.42, 254.89), (468.47, 255.23), (468.13, 287.73)], [(421.22, 403.73), (424.11, 382.31), (431.64, 384.04), (442.06, 311.09), (453.64, 308.77), (459.43, 312.83), (460.59, 385.78), (465.8, 386.36), (464.06, 405.47)]]"
3,504_7f5c40a4a4277bf6e6bfad7679968e3208671eabe5e9199811d836e8e6a4e0821ecdf02f9810c3be2f9435b6d3dd1966ad34864e82de871f6525cb7c5ccceb7f_9.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/504_7f5c40a4a4277bf6e6bfad7679968e3208671eabe5e9199811d836e8e6a4e0821ecdf02f9810c3be2f9435b6d3dd1966ad34864e82de871f6525cb7c5ccceb7f_9.jpg,"[[(578.07, 364.66), (578.07, 310.13), (587.24, 306.76), (598.82, 361.28), (608.95, 369.96), (592.06, 373.82)], [(193.22, 226.78), (189.27, 226.31), (189.5, 223.05), (219.75, 223.29), (220.45, 226.78), (211.14, 226.78), (210.91, 230.04), (220.91, 229.57), (220.22, 234.92), (209.05, 233.76), (209.05, 237.25), (220.45, 237.25), (220.45, 242.37), (189.5, 242.6), (189.73, 238.18), (197.18, 237.25), (197.18, 234.22), (187.41, 233.99), (187.87, 229.57), (193.46, 229.1)], [(455.03, 322.68), (458.41, 322.68), (467.09, 275.87), (478.67, 275.39), (478.19, 326.06), (482.05, 331.85), (456.96, 332.81)], [(496.53, 337.15), (503.76, 336.67), (512.45, 285.04), (527.41, 287.94), (525.48, 337.64), (532.23, 346.32), (508.59, 349.7)], [(599.78, 374.79), (610.88, 375.27), (621.98, 307.72), (636.45, 306.76), (627.77, 375.75), (641.0, 384.0), (615.22, 386.37)]]"
4,505_7f5c40a4a4277bf6e6bfad7679968e3208671eabe5e9199811d836e8e6a4e0821ecdf02f9810c3be2f9435b6d3dd1966ad34864e82de871f6525cb7c5ccceb7f_99.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/505_7f5c40a4a4277bf6e6bfad7679968e3208671eabe5e9199811d836e8e6a4e0821ecdf02f9810c3be2f9435b6d3dd1966ad34864e82de871f6525cb7c5ccceb7f_99.jpg,"[[(140.92, 299.33), (146.71, 298.76), (143.23, 265.75), (151.92, 264.59), (161.18, 298.76), (165.24, 299.33), (156.55, 302.81)], [(429.0, 279.66), (429.0, 279.66), (431.51, 279.38), (432.35, 248.11), (439.61, 247.55), (441.84, 277.15), (443.24, 280.5), (438.21, 281.34)], [(512.06, 353.18), (519.01, 351.45), (531.17, 292.97), (546.8, 291.23), (542.17, 349.13), (546.22, 362.45), (526.54, 363.6), (526.54, 363.6)]]"
5,506_5d80e9b6974cb8be547ad9a98d774346390172b19f51c03e00dc3876225bf9c7461b8d551ad6c748819b1bebd0b68147fdd0e214dc5705ab4339a1d0b6590414_0.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/506_5d80e9b6974cb8be547ad9a98d774346390172b19f51c03e00dc3876225bf9c7461b8d551ad6c748819b1bebd0b68147fdd0e214dc5705ab4339a1d0b6590414_0.jpg,"[[(10.99, 341.25), (19.67, 336.04), (9.25, 288.56), (19.09, 289.14), (34.15, 336.62), (26.04, 345.31)], [(133.0, 258.0), (141.0, 259.0), (141.0, 274.0), (132.58, 274.09)], [(216.11, 270.73), (215.83, 244.76), (221.42, 242.25), (225.05, 268.77)], [(245.0, 261.0), (245.71, 241.97), (249.9, 241.13), (253.81, 262.35)], [(41.31, 246.16), (41.03, 237.5), (92.41, 235.55), (91.85, 244.48), (79.29, 244.76), (79.85, 252.3), (92.13, 251.46), (92.13, 258.72), (79.01, 259.28), (79.29, 264.03), (92.41, 263.47), (93.25, 271.57), (42.15, 270.17), (42.71, 264.59), (61.7, 263.47), (59.74, 257.33), (39.92, 257.6), (41.59, 250.07), (63.09, 251.18), (62.26, 245.04)], [(8.88, 269.0), (7.87, 248.89), (13.57, 248.56), (15.24, 269.33)]]"
6,507_5d80e9b6974cb8be547ad9a98d774346390172b19f51c03e00dc3876225bf9c7461b8d551ad6c748819b1bebd0b68147fdd0e214dc5705ab4339a1d0b6590414_11.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/507_5d80e9b6974cb8be547ad9a98d774346390172b19f51c03e00dc3876225bf9c7461b8d551ad6c748819b1bebd0b68147fdd0e214dc5705ab4339a1d0b6590414_11.jpg,"[[(525.96, 446.4), (523.06, 435.98), (531.75, 423.82), (534.07, 422.66), (553.75, 336.39), (565.33, 330.02), (576.33, 334.07), (568.81, 423.24), (576.33, 430.19), (572.86, 445.24), (564.17, 452.77), (543.91, 453.35)], [(413.63, 288.33), (414.79, 287.17), (418.26, 258.8), (428.11, 258.8), (429.84, 286.02), (433.32, 289.49), (423.47, 294.7)]]"
7,508_5d80e9b6974cb8be547ad9a98d774346390172b19f51c03e00dc3876225bf9c7461b8d551ad6c748819b1bebd0b68147fdd0e214dc5705ab4339a1d0b6590414_29.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/508_5d80e9b6974cb8be547ad9a98d774346390172b19f51c03e00dc3876225bf9c7461b8d551ad6c748819b1bebd0b68147fdd0e214dc5705ab4339a1d0b6590414_29.jpg,"[[(91.41, 287.48), (91.69, 265.7), (98.95, 264.31), (100.34, 280.5)], [(174.06, 261.79), (172.94, 254.25), (179.64, 248.11), (179.64, 262.07)]]"
8,509_5d80e9b6974cb8be547ad9a98d774346390172b19f51c03e00dc3876225bf9c7461b8d551ad6c748819b1bebd0b68147fdd0e214dc5705ab4339a1d0b6590414_55.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/509_5d80e9b6974cb8be547ad9a98d774346390172b19f51c03e00dc3876225bf9c7461b8d551ad6c748819b1bebd0b68147fdd0e214dc5705ab4339a1d0b6590414_55.jpg,"[[(1.65, 342.5), (9.39, 334.76), (7.24, 282.73), (16.7, 282.3), (23.15, 335.19), (31.32, 336.48), (33.04, 339.92), (21.86, 345.94)], [(457.0, 360.13), (467.32, 359.27), (476.35, 296.06), (487.96, 296.06), (490.97, 360.13), (500.43, 372.6), (466.89, 376.04)], [(400.06, 281.06), (401.25, 278.38), (402.74, 254.19), (410.21, 253.59), (411.1, 280.17), (413.79, 281.36), (414.09, 284.35), (399.76, 284.05)]]"
9,510_5d80e9b6974cb8be547ad9a98d774346390172b19f51c03e00dc3876225bf9c7461b8d551ad6c748819b1bebd0b68147fdd0e214dc5705ab4339a1d0b6590414_69.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/510_5d80e9b6974cb8be547ad9a98d774346390172b19f51c03e00dc3876225bf9c7461b8d551ad6c748819b1bebd0b68147fdd0e214dc5705ab4339a1d0b6590414_69.jpg,"[[(190.41, 287.07), (195.76, 283.81), (196.92, 251.93), (203.21, 250.54), (205.07, 270.08), (204.84, 287.3), (198.09, 289.63)], [(455.98, 283.79), (457.84, 252.14), (464.12, 249.35), (467.61, 251.44), (466.68, 286.35), (468.31, 287.74), (454.35, 287.51)], [(422.9, 404.13), (423.47, 381.55), (430.42, 382.13), (442.0, 311.49), (448.37, 308.6), (458.79, 310.34), (461.69, 319.6), (458.79, 383.87), (464.0, 384.45), (462.85, 405.87)]]"
