,name,path,barrier
42,543_c1353ff48551f12d192b8a8e18594d7bbb248888aeae0fbce0f9b8c4cfea94e0dcadb0395b8f9796f3e5c09c5d2488bbfbabcb9ec74e2b38e970eacc44d6141f_18.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/543_c1353ff48551f12d192b8a8e18594d7bbb248888aeae0fbce0f9b8c4cfea94e0dcadb0395b8f9796f3e5c09c5d2488bbfbabcb9ec74e2b38e970eacc44d6141f_18.jpg,"[[(1.14, 310.72), (1.0, 392.0), (114.0, 338.0), (308.0, 245.0), (303.8, 225.68), (293.8, 232.35), (83.69, 285.71)]]"
43,544_c1353ff48551f12d192b8a8e18594d7bbb248888aeae0fbce0f9b8c4cfea94e0dcadb0395b8f9796f3e5c09c5d2488bbfbabcb9ec74e2b38e970eacc44d6141f_5.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/544_c1353ff48551f12d192b8a8e18594d7bbb248888aeae0fbce0f9b8c4cfea94e0dcadb0395b8f9796f3e5c09c5d2488bbfbabcb9ec74e2b38e970eacc44d6141f_5.jpg,"[[(0.0, 311.0), (0.0, 389.0), (66.0, 358.0), (196.5, 298.18), (335.0, 235.0), (323.31, 221.75), (122.39, 273.86)]]"
48,549_3c82ac58524223af18f5e7bd0e972c4f150ee10a1a8751c758269cfa48634c9695721f46dec9a41910b9c906dccfefe18ae80fd947d9342e890c43cf9525186b_43.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/549_3c82ac58524223af18f5e7bd0e972c4f150ee10a1a8751c758269cfa48634c9695721f46dec9a41910b9c906dccfefe18ae80fd947d9342e890c43cf9525186b_43.jpg,"[[(611.0, 480.0), (505.0, 480.0), (476.82, 459.38), (442.78, 381.57), (410.82, 289.16), (404.56, 241.91), (410.82, 236.35), (412.9, 247.47), (426.8, 275.95), (460.15, 319.73), (563.68, 422.56)]]"
49,550_3c82ac58524223af18f5e7bd0e972c4f150ee10a1a8751c758269cfa48634c9695721f46dec9a41910b9c906dccfefe18ae80fd947d9342e890c43cf9525186b_60.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/550_3c82ac58524223af18f5e7bd0e972c4f150ee10a1a8751c758269cfa48634c9695721f46dec9a41910b9c906dccfefe18ae80fd947d9342e890c43cf9525186b_60.jpg,"[[(0.39, 266.07), (0.0, 307.38), (70.81, 295.18), (213.89, 267.56), (279.08, 252.38), (277.34, 242.43), (107.14, 256.61)], [(749.7, 429.64), (751.25, 479.17), (623.0, 480.0), (565.5, 425.0), (522.0, 387.0), (408.12, 289.81), (361.69, 248.02), (369.94, 240.79), (438.57, 276.91), (548.99, 328.51), (653.21, 380.62)]]"
53,554_f0b549ec6900c651d8b1e106fcb7a2ab8549d7835e1f0895ec303d7b6fe450123471298b1812871284726642a3c91f1af0c012f05c22a3112584465e2a643e65_15.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/554_f0b549ec6900c651d8b1e106fcb7a2ab8549d7835e1f0895ec303d7b6fe450123471298b1812871284726642a3c91f1af0c012f05c22a3112584465e2a643e65_15.jpg,"[[(751.53, 439.25), (752.0, 480.0), (726.44, 479.3), (643.45, 414.16), (550.33, 338.41), (505.93, 305.6), (428.73, 249.63), (410.4, 236.12), (411.85, 223.57), (420.0, 218.0), (427.77, 219.71), (419.57, 224.05), (414.26, 227.43), (430.18, 239.01), (499.18, 279.06), (652.14, 374.6)]]"
54,555_f0b549ec6900c651d8b1e106fcb7a2ab8549d7835e1f0895ec303d7b6fe450123471298b1812871284726642a3c91f1af0c012f05c22a3112584465e2a643e65_29.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/555_f0b549ec6900c651d8b1e106fcb7a2ab8549d7835e1f0895ec303d7b6fe450123471298b1812871284726642a3c91f1af0c012f05c22a3112584465e2a643e65_29.jpg,"[[(692.42, 478.42), (616.0, 479.58), (518.14, 359.72), (460.24, 293.14), (439.0, 263.0), (432.0, 238.0), (439.98, 224.24), (447.5, 222.5), (447.5, 227.13), (445.77, 234.66), (450.4, 247.4), (515.83, 312.25), (607.89, 390.41), (660.58, 448.31)]]"
75,576_f56b2fee0fe5c1512abc85c6526b32283821119972c136d986b59f03a9c6deaa9150e6735bf7ac5ec3b785bb46d51fb82aee2095896460b11315f153fec18291_14.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/576_f56b2fee0fe5c1512abc85c6526b32283821119972c136d986b59f03a9c6deaa9150e6735bf7ac5ec3b785bb46d51fb82aee2095896460b11315f153fec18291_14.jpg,"[[(0.0, 279.0), (0.55, 320.41), (240.0, 274.0), (374.0, 247.0), (374.02, 239.83), (175.71, 260.1)]]"
76,577_f56b2fee0fe5c1512abc85c6526b32283821119972c136d986b59f03a9c6deaa9150e6735bf7ac5ec3b785bb46d51fb82aee2095896460b11315f153fec18291_26.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/577_f56b2fee0fe5c1512abc85c6526b32283821119972c136d986b59f03a9c6deaa9150e6735bf7ac5ec3b785bb46d51fb82aee2095896460b11315f153fec18291_26.jpg,"[[(0.22, 280.23), (0.8, 329.44), (145.55, 295.86), (320.41, 257.07), (319.25, 246.07), (163.5, 263.44)]]"
77,578_f56b2fee0fe5c1512abc85c6526b32283821119972c136d986b59f03a9c6deaa9150e6735bf7ac5ec3b785bb46d51fb82aee2095896460b11315f153fec18291_39.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/578_f56b2fee0fe5c1512abc85c6526b32283821119972c136d986b59f03a9c6deaa9150e6735bf7ac5ec3b785bb46d51fb82aee2095896460b11315f153fec18291_39.jpg,"[[(0.0, 278.0), (0.0, 322.0), (231.13, 273.1), (371.83, 245.31), (372.98, 240.68), (261.24, 251.1), (123.43, 264.42)]]"
81,582_613eae71b4869b45ba90a2b538e4a6dc6e23388e16e0c20e00d6cfeef9489a98663886c55e449127f92544564ed5002a99c8045d57b9de82a0e362a4c4d20522_30.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/582_613eae71b4869b45ba90a2b538e4a6dc6e23388e16e0c20e00d6cfeef9489a98663886c55e449127f92544564ed5002a99c8045d57b9de82a0e362a4c4d20522_30.jpg,"[[(1.67, 340.96), (0.7, 404.17), (296.0, 310.08), (330.74, 283.55), (330.25, 276.79), (323.5, 283.06), (287.31, 300.92), (89.0, 332.28)], [(423.0, 304.0), (422.41, 318.29), (544.0, 345.79), (570.54, 344.34), (579.71, 332.28), (577.78, 315.39), (563.79, 317.8), (563.31, 319.25), (518.43, 313.94), (449.92, 306.71)]]"
