,name,path,board
1,502_7f5c40a4a4277bf6e6bfad7679968e3208671eabe5e9199811d836e8e6a4e0821ecdf02f9810c3be2f9435b6d3dd1966ad34864e82de871f6525cb7c5ccceb7f_70.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/502_7f5c40a4a4277bf6e6bfad7679968e3208671eabe5e9199811d836e8e6a4e0821ecdf02f9810c3be2f9435b6d3dd1966ad34864e82de871f6525cb7c5ccceb7f_70.jpg,"[[(370.4, 206.88), (373.29, 222.8), (402.24, 221.35), (399.83, 207.36)]]"
2,503_7f5c40a4a4277bf6e6bfad7679968e3208671eabe5e9199811d836e8e6a4e0821ecdf02f9810c3be2f9435b6d3dd1966ad34864e82de871f6525cb7c5ccceb7f_85.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/503_7f5c40a4a4277bf6e6bfad7679968e3208671eabe5e9199811d836e8e6a4e0821ecdf02f9810c3be2f9435b6d3dd1966ad34864e82de871f6525cb7c5ccceb7f_85.jpg,"[[(450.75, 131.59), (489.54, 133.91), (490.12, 130.44), (585.66, 139.7), (585.66, 144.33), (616.92, 145.49), (616.34, 237.55), (578.71, 234.66), (582.18, 258.4), (585.66, 259.56), (587.97, 274.03), (578.13, 274.03), (578.13, 303.56), (579.29, 307.61), (583.34, 308.77), (583.92, 312.25), (578.71, 314.56), (576.97, 340.04), (591.45, 335.99), (599.55, 341.2), (603.6, 349.88), (613.45, 349.88), (630.24, 357.99), (614.03, 367.25), (615.76, 409.52), (608.24, 410.1), (607.08, 375.94), (598.97, 377.1), (596.08, 390.99), (589.13, 394.47), (577.55, 393.31), (571.18, 371.31), (558.44, 371.31), (558.44, 374.2), (545.12, 375.36), (540.49, 374.2), (516.17, 373.62), (515.02, 383.46), (502.86, 385.2), (491.28, 382.31), (486.07, 407.2), (483.17, 417.63), (479.12, 422.84), (476.22, 422.26), (474.48, 401.41), (469.85, 393.31), (468.69, 370.15), (468.12, 359.72), (461.17, 355.67), (460.59, 340.04), (479.12, 338.88), (477.38, 308.77), (467.54, 305.88), (467.54, 300.09), (481.43, 300.09), (483.17, 228.29), (443.22, 225.97)]]"
6,507_5d80e9b6974cb8be547ad9a98d774346390172b19f51c03e00dc3876225bf9c7461b8d551ad6c748819b1bebd0b68147fdd0e214dc5705ab4339a1d0b6590414_11.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/507_5d80e9b6974cb8be547ad9a98d774346390172b19f51c03e00dc3876225bf9c7461b8d551ad6c748819b1bebd0b68147fdd0e214dc5705ab4339a1d0b6590414_11.jpg,"[[(15.71, 221.19), (14.03, 202.76), (12.08, 201.09), (14.87, 195.78), (15.99, 175.68), (31.34, 175.4), (31.9, 172.61), (75.18, 170.37), (76.02, 172.89), (83.0, 173.45), (83.56, 226.78), (69.88, 229.01), (66.81, 270.9), (69.32, 273.69), (71.55, 274.53), (71.0, 277.6), (73.23, 284.86), (79.09, 283.46), (81.05, 288.49), (77.7, 290.16), (78.81, 297.14), (76.02, 299.1), (63.46, 302.17), (64.01, 309.15), (60.38, 317.25), (57.03, 318.37), (51.45, 318.09), (47.82, 315.01), (45.31, 303.57), (22.41, 300.22), (19.62, 309.99), (14.03, 312.22), (6.21, 307.2), (3.98, 297.14), (0.0, 294.91), (0.07, 289.05), (3.42, 290.16), (8.45, 285.97), (15.15, 282.07), (18.78, 281.79), (22.13, 282.34), (16.55, 268.94), (18.78, 268.66), (24.92, 280.67), (27.16, 273.69), (27.99, 260.84), (28.55, 249.95), (28.55, 239.06), (24.09, 238.51), (23.81, 235.43), (29.11, 234.88), (28.27, 228.45), (28.27, 223.99)]]"
8,509_5d80e9b6974cb8be547ad9a98d774346390172b19f51c03e00dc3876225bf9c7461b8d551ad6c748819b1bebd0b68147fdd0e214dc5705ab4339a1d0b6590414_55.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/509_5d80e9b6974cb8be547ad9a98d774346390172b19f51c03e00dc3876225bf9c7461b8d551ad6c748819b1bebd0b68147fdd0e214dc5705ab4339a1d0b6590414_55.jpg,"[[(373.77, 207.36), (371.87, 222.22), (404.87, 224.12), (404.52, 207.88)]]"
9,510_5d80e9b6974cb8be547ad9a98d774346390172b19f51c03e00dc3876225bf9c7461b8d551ad6c748819b1bebd0b68147fdd0e214dc5705ab4339a1d0b6590414_69.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/510_5d80e9b6974cb8be547ad9a98d774346390172b19f51c03e00dc3876225bf9c7461b8d551ad6c748819b1bebd0b68147fdd0e214dc5705ab4339a1d0b6590414_69.jpg,"[[(469.79, 226.38), (469.79, 214.8), (452.42, 213.64), (455.32, 202.64), (446.63, 201.48), (450.69, 130.84), (489.48, 134.32), (490.06, 128.53), (580.97, 136.63), (580.97, 140.69), (620.34, 146.48), (616.86, 237.38), (582.12, 237.96), (581.54, 255.33), (586.76, 257.07), (586.18, 270.96), (576.91, 272.7), (576.91, 303.39), (576.33, 338.71), (593.7, 336.97), (594.28, 336.39), (601.23, 342.18), (604.7, 356.66), (612.81, 363.03), (613.39, 368.24), (614.55, 410.5), (609.34, 411.08), (607.02, 375.76), (598.34, 376.92), (598.91, 391.4), (597.18, 395.45), (583.28, 395.45), (572.86, 387.92), (572.86, 371.71), (559.54, 371.71), (558.96, 375.76), (545.65, 376.34), (543.33, 375.18), (513.22, 373.45), (513.8, 382.71), (502.8, 383.87), (497.01, 378.66), (492.38, 378.66), (492.38, 398.34), (487.74, 401.82), (469.22, 397.19), (466.32, 380.97), (470.37, 348.55), (462.85, 350.29), (463.43, 341.6), (477.32, 338.13), (479.06, 309.76), (466.32, 303.39), (471.53, 298.76), (479.64, 305.12), (483.69, 228.12)]]"
19,520_75c8e2342a07872046067a23f6be1935a431b0abab76045a7ea7f05d402b0a04e0cead6c5ee916b196606edb8e6c54a4d7ce37dd649750b35acea0fb23bbb9df_23.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/520_75c8e2342a07872046067a23f6be1935a431b0abab76045a7ea7f05d402b0a04e0cead6c5ee916b196606edb8e6c54a4d7ce37dd649750b35acea0fb23bbb9df_23.jpg,"[[(436.21, 162.11), (436.79, 110.0), (458.79, 110.58), (464.0, 107.1), (517.85, 108.84), (521.33, 111.16), (548.54, 113.47), (551.44, 163.85), (510.9, 164.42), (534.64, 183.53), (531.75, 233.91), (538.7, 236.22), (546.22, 242.59), (552.01, 251.28), (554.33, 265.75), (554.91, 272.7), (554.91, 275.02), (542.17, 274.44), (473.85, 270.96), (462.85, 204.38), (461.69, 162.69)]]"
29,530_f5df69c25586a13fdb7352e53f1f12862dd53e736c0e738cc34dbced28ab7e542c53e62731493dacc8d0a519df17e644d65f6edc4c5080f869ec9819f3cb69d0_18.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/530_f5df69c25586a13fdb7352e53f1f12862dd53e736c0e738cc34dbced28ab7e542c53e62731493dacc8d0a519df17e644d65f6edc4c5080f869ec9819f3cb69d0_18.jpg,"[[(37.1, 138.91), (38.71, 106.34), (54.39, 103.13), (53.59, 98.3), (75.71, 97.1), (76.11, 101.52), (90.18, 101.92), (90.58, 141.33), (69.27, 141.73), (68.87, 170.68), (74.1, 166.66), (79.32, 169.47), (81.74, 181.94), (90.18, 184.35), (91.39, 193.2), (88.17, 200.43), (77.72, 201.24), (73.29, 194.4), (67.26, 192.39), (56.81, 193.6), (58.0, 199.0), (54.0, 204.0), (47.0, 203.0), (47.16, 193.6), (41.93, 193.2), (41.53, 189.58), (45.55, 189.98), (53.59, 189.18), (50.37, 141.33)]]"
31,532_f5df69c25586a13fdb7352e53f1f12862dd53e736c0e738cc34dbced28ab7e542c53e62731493dacc8d0a519df17e644d65f6edc4c5080f869ec9819f3cb69d0_76.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/532_f5df69c25586a13fdb7352e53f1f12862dd53e736c0e738cc34dbced28ab7e542c53e62731493dacc8d0a519df17e644d65f6edc4c5080f869ec9819f3cb69d0_76.jpg,"[[(335.32, 133.26), (335.32, 117.02), (361.93, 118.23), (360.03, 133.44), (349.32, 133.44), (349.14, 143.63), (354.15, 146.05), (355.71, 146.91), (356.05, 155.21), (353.81, 155.21), (353.29, 152.27), (340.5, 151.75), (339.64, 155.21), (337.56, 155.38), (338.08, 145.19), (343.27, 145.7), (344.0, 133.0)]]"
33,534_79bca55cf36210a5d6e8e947ad95197a4896efb9ae88f88679f25796801046edcab07e6daea5b4bd13dc2f92cb3f9c16cfe52fde9ae910b09f4f864a7603368d_71.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/534_79bca55cf36210a5d6e8e947ad95197a4896efb9ae88f88679f25796801046edcab07e6daea5b4bd13dc2f92cb3f9c16cfe52fde9ae910b09f4f864a7603368d_71.jpg,"[[(469.22, 123.11), (467.29, 209.48), (530.49, 212.38), (525.67, 305.98), (511.19, 304.54), (510.23, 312.74), (490.93, 312.74), (487.55, 344.1), (490.45, 360.99), (502.51, 363.88), (508.78, 353.75), (512.64, 346.51), (577.3, 345.07), (585.5, 357.13), (587.43, 362.92), (591.77, 366.78), (607.7, 362.92), (608.18, 349.89), (601.91, 334.93), (593.7, 325.77), (600.94, 322.87), (610.59, 314.19), (605.28, 315.63), (589.36, 313.7), (581.64, 312.74), (580.68, 296.33), (581.64, 259.18), (578.26, 218.17), (621.21, 220.1), (621.69, 138.55), (588.88, 134.21), (585.98, 128.42), (509.75, 120.22), (506.85, 126.01)]]"
36,537_ba93a13edc01bc6a287b3e736bcbe74958aeb10dc9d0c1172fd640d52782e48cb233e652e9317493c62404c5f9e13701d2fd6a439544572c04c52d18a6074bab_40.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/537_ba93a13edc01bc6a287b3e736bcbe74958aeb10dc9d0c1172fd640d52782e48cb233e652e9317493c62404c5f9e13701d2fd6a439544572c04c52d18a6074bab_40.jpg,"[[(491.74, 216.65), (470.9, 217.81), (474.95, 180.17), (545.0, 182.0), (540.96, 225.92), (526.48, 223.6), (529.38, 255.45), (534.59, 258.34), (535.17, 265.87), (529.95, 265.87), (531.11, 273.97), (525.32, 272.82), (522.43, 267.6), (495.79, 263.55), (495.79, 268.76), (491.74, 269.92)]]"
