,name,path,cone
3,504_7f5c40a4a4277bf6e6bfad7679968e3208671eabe5e9199811d836e8e6a4e0821ecdf02f9810c3be2f9435b6d3dd1966ad34864e82de871f6525cb7c5ccceb7f_9.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/504_7f5c40a4a4277bf6e6bfad7679968e3208671eabe5e9199811d836e8e6a4e0821ecdf02f9810c3be2f9435b6d3dd1966ad34864e82de871f6525cb7c5ccceb7f_9.jpg,"[[(122.18, 245.97), (121.72, 228.99), (125.67, 228.52), (128.0, 246.67)]]"
10,511_5340d743f85a1d7adca9b510d713f3746a833f9ddeb508a3830016337a434eda72fb8223945ee4cdead3ca5283ae71005edc6425a18ebcc9ee40a782b9ddd7d2_12.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/511_5340d743f85a1d7adca9b510d713f3746a833f9ddeb508a3830016337a434eda72fb8223945ee4cdead3ca5283ae71005edc6425a18ebcc9ee40a782b9ddd7d2_12.jpg,"[[(658.32, 339.69), (660.06, 335.64), (671.0, 336.0), (679.0, 292.0), (683.0, 292.0), (679.0, 337.0), (688.43, 339.11), (687.27, 344.9)]]"
31,532_f5df69c25586a13fdb7352e53f1f12862dd53e736c0e738cc34dbced28ab7e542c53e62731493dacc8d0a519df17e644d65f6edc4c5080f869ec9819f3cb69d0_76.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/532_f5df69c25586a13fdb7352e53f1f12862dd53e736c0e738cc34dbced28ab7e542c53e62731493dacc8d0a519df17e644d65f6edc4c5080f869ec9819f3cb69d0_76.jpg,"[[(572.0, 218.0), (579.89, 180.33), (584.31, 180.73), (588.0, 219.0)], [(597.98, 218.13), (598.79, 179.12), (603.61, 177.52), (610.45, 219.33)], [(528.82, 216.12), (544.0, 173.0), (544.5, 220.54)]]"
35,536_ba93a13edc01bc6a287b3e736bcbe74958aeb10dc9d0c1172fd640d52782e48cb233e652e9317493c62404c5f9e13701d2fd6a439544572c04c52d18a6074bab_110.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/536_ba93a13edc01bc6a287b3e736bcbe74958aeb10dc9d0c1172fd640d52782e48cb233e652e9317493c62404c5f9e13701d2fd6a439544572c04c52d18a6074bab_110.jpg,"[[(649.87, 464.0), (663.18, 461.11), (696.19, 340.68), (706.0, 343.0), (677.66, 459.37), (682.29, 454.74), (689.24, 460.53), (691.56, 470.95), (669.55, 476.74)], [(258.0, 256.0), (256.14, 232.4), (263.67, 232.4), (267.0, 256.0)]]"
38,539_ba93a13edc01bc6a287b3e736bcbe74958aeb10dc9d0c1172fd640d52782e48cb233e652e9317493c62404c5f9e13701d2fd6a439544572c04c52d18a6074bab_97.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/539_ba93a13edc01bc6a287b3e736bcbe74958aeb10dc9d0c1172fd640d52782e48cb233e652e9317493c62404c5f9e13701d2fd6a439544572c04c52d18a6074bab_97.jpg,"[[(297.71, 240.78), (297.71, 226.38), (301.4, 226.04), (303.74, 241.12)], [(633.66, 292.39), (636.55, 292.39), (640.6, 262.86), (645.81, 263.44), (648.13, 289.49), (658.55, 294.7), (643.5, 295.86)]]"
44,545_88f61eb86168429909b4653840900ba9df504cc31e1e04a32024083c30913dae21b7735a3ba4e9f06079f46d95e00e43dace3658b24aeaa9ae8f7b89e952d69b_24.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/545_88f61eb86168429909b4653840900ba9df504cc31e1e04a32024083c30913dae21b7735a3ba4e9f06079f46d95e00e43dace3658b24aeaa9ae8f7b89e952d69b_24.jpg,"[[(466.12, 195.25), (469.38, 191.99), (470.78, 172.91), (474.27, 168.95), (478.46, 191.53), (481.71, 194.32), (474.5, 197.58)], [(323.02, 351.97), (334.6, 343.28), (339.81, 294.07), (348.49, 295.22), (361.81, 345.6), (353.12, 361.23)]]"
45,546_88f61eb86168429909b4653840900ba9df504cc31e1e04a32024083c30913dae21b7735a3ba4e9f06079f46d95e00e43dace3658b24aeaa9ae8f7b89e952d69b_74.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/546_88f61eb86168429909b4653840900ba9df504cc31e1e04a32024083c30913dae21b7735a3ba4e9f06079f46d95e00e43dace3658b24aeaa9ae8f7b89e952d69b_74.jpg,"[[(178.55, 278.43), (185.79, 275.54), (182.41, 244.66), (189.65, 243.69), (198.82, 271.19), (203.64, 276.98), (202.2, 279.4), (191.1, 279.4)]]"
46,547_88f61eb86168429909b4653840900ba9df504cc31e1e04a32024083c30913dae21b7735a3ba4e9f06079f46d95e00e43dace3658b24aeaa9ae8f7b89e952d69b_8.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/547_88f61eb86168429909b4653840900ba9df504cc31e1e04a32024083c30913dae21b7735a3ba4e9f06079f46d95e00e43dace3658b24aeaa9ae8f7b89e952d69b_8.jpg,"[[(132.19, 181.51), (132.19, 168.44), (136.54, 168.11), (139.56, 182.18)], [(382.0, 201.0), (387.85, 182.85), (391.87, 182.51), (396.56, 200.61)], [(629.77, 239.14), (631.78, 237.47), (636.14, 221.05), (639.83, 220.71), (640.16, 239.81), (645.52, 242.49), (628.43, 245.84)], [(572.81, 245.51), (578.17, 238.14), (582.19, 221.72), (586.21, 220.38), (587.89, 240.15), (591.91, 245.17), (582.53, 246.51)], [(492.73, 246.85), (496.75, 242.16), (500.1, 221.72), (504.79, 220.71), (506.13, 241.49), (511.0, 248.0), (502.0, 248.0)], [(410.97, 220.38), (416.33, 200.94), (420.69, 200.61), (424.71, 222.72), (413.31, 224.73)], [(429.06, 243.16), (432.08, 219.71), (435.76, 216.36), (441.13, 218.03), (444.48, 244.17), (432.75, 246.18)], [(83.94, 225.74), (86.62, 224.73), (89.63, 203.96), (92.65, 203.96), (96.33, 228.42), (86.62, 228.75)], [(110.07, 216.36), (112.75, 194.58), (117.44, 194.58), (121.13, 216.36)], [(156.98, 191.23), (159.33, 176.15), (163.01, 175.81), (166.36, 191.9)], [(153.63, 184.86), (154.64, 171.79), (161.0, 170.79), (161.0, 186.0)], [(112.08, 179.16), (113.76, 166.43), (119.45, 166.43), (119.45, 180.5)], [(687.74, 233.11), (693.44, 215.69), (697.0, 215.0), (699.13, 234.79), (694.44, 236.46)]]"
51,552_31a6a47b35154757f0adafaef4a7897868dd51698020c66a6a1cb6b53d069b50407f58bd5c8c2c51a3afa74548ad32edb03b8743894ec8b23458ad9212716a87_47.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/552_31a6a47b35154757f0adafaef4a7897868dd51698020c66a6a1cb6b53d069b50407f58bd5c8c2c51a3afa74548ad32edb03b8743894ec8b23458ad9212716a87_47.jpg,"[[(377.54, 199.4), (378.12, 180.39), (382.39, 178.65), (383.94, 199.01)], [(365.83, 215.12), (372.2, 214.78), (372.87, 187.31), (377.9, 186.3), (377.9, 214.78), (384.93, 215.45), (384.26, 218.13), (368.85, 218.13)]]"
61,562_679fb85ef88d8a1bf9f6ba36bb9ad8777e9ed367f01786747e3abbf14e15329860779bfc738b12fcecdb9e09ac888ee7dcdc8712cb666c17490bae0ecd5cd6b2_28.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/562_679fb85ef88d8a1bf9f6ba36bb9ad8777e9ed367f01786747e3abbf14e15329860779bfc738b12fcecdb9e09ac888ee7dcdc8712cb666c17490bae0ecd5cd6b2_28.jpg,"[[(28.35, 338.46), (44.27, 336.04), (41.38, 274.76), (46.68, 274.28), (53.92, 332.67), (58.26, 336.04), (54.89, 339.42), (45.24, 341.83)], [(143.71, 270.52), (144.64, 245.16), (147.2, 244.93), (149.29, 270.99)]]"
