,name,path,drum
19,520_75c8e2342a07872046067a23f6be1935a431b0abab76045a7ea7f05d402b0a04e0cead6c5ee916b196606edb8e6c54a4d7ce37dd649750b35acea0fb23bbb9df_23.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/520_75c8e2342a07872046067a23f6be1935a431b0abab76045a7ea7f05d402b0a04e0cead6c5ee916b196606edb8e6c54a4d7ce37dd649750b35acea0fb23bbb9df_23.jpg,"[[(415.95, 208.43), (417.68, 187.59), (425.79, 188.74), (425.21, 209.01)], [(428.69, 218.85), (432.74, 198.59), (441.42, 196.85), (443.16, 224.64)], [(577.49, 376.92), (598.91, 294.12), (602.39, 295.28), (604.13, 287.17), (631.34, 287.17), (636.55, 291.81), (640.02, 309.18), (624.97, 380.97), (630.76, 387.34), (616.86, 392.55), (586.76, 386.76)], [(447.21, 251.86), (446.06, 218.27), (459.37, 215.38), (469.22, 217.11), (469.22, 254.17)], [(461.69, 284.86), (462.85, 239.12), (485.43, 233.33), (488.9, 236.8), (491.8, 287.75)]]"
20,521_75c8e2342a07872046067a23f6be1935a431b0abab76045a7ea7f05d402b0a04e0cead6c5ee916b196606edb8e6c54a4d7ce37dd649750b35acea0fb23bbb9df_47.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/521_75c8e2342a07872046067a23f6be1935a431b0abab76045a7ea7f05d402b0a04e0cead6c5ee916b196606edb8e6c54a4d7ce37dd649750b35acea0fb23bbb9df_47.jpg,"[[(542.0, 340.0), (551.0, 264.0), (590.81, 269.8), (585.6, 345.66)], [(433.69, 225.1), (436.2, 201.93), (446.53, 199.41), (449.6, 201.37), (449.32, 227.34)], [(411.74, 206.62), (413.97, 206.34), (415.93, 190.14), (424.58, 190.14), (424.58, 208.57), (412.58, 211.64)], [(397.5, 192.1), (397.5, 181.77), (406.43, 182.32), (406.43, 194.05)]]"
21,522_75c8e2342a07872046067a23f6be1935a431b0abab76045a7ea7f05d402b0a04e0cead6c5ee916b196606edb8e6c54a4d7ce37dd649750b35acea0fb23bbb9df_61.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/522_75c8e2342a07872046067a23f6be1935a431b0abab76045a7ea7f05d402b0a04e0cead6c5ee916b196606edb8e6c54a4d7ce37dd649750b35acea0fb23bbb9df_61.jpg,"[[(421.0, 201.0), (423.5, 185.87), (431.21, 186.54), (430.2, 200.61)], [(622.94, 460.84), (643.79, 437.22), (668.11, 352.45), (685.48, 350.37), (693.12, 340.64), (706.32, 339.95), (714.66, 349.67), (719.52, 361.49), (692.42, 463.62), (702.15, 478.21), (638.92, 480.0)], [(407.42, 195.25), (409.09, 183.18), (418.14, 182.18), (418.47, 197.93)], [(508.3, 317.71), (518.03, 313.54), (530.53, 255.18), (543.73, 251.01), (560.41, 258.65), (556.24, 320.49), (562.49, 328.13), (556.24, 337.86), (518.03, 331.61)]]"
22,523_75c8e2342a07872046067a23f6be1935a431b0abab76045a7ea7f05d402b0a04e0cead6c5ee916b196606edb8e6c54a4d7ce37dd649750b35acea0fb23bbb9df_94.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/523_75c8e2342a07872046067a23f6be1935a431b0abab76045a7ea7f05d402b0a04e0cead6c5ee916b196606edb8e6c54a4d7ce37dd649750b35acea0fb23bbb9df_94.jpg,"[[(373.68, 371.13), (380.05, 363.6), (392.79, 360.13), (407.84, 281.96), (416.53, 281.96), (420.0, 276.17), (445.48, 283.12), (448.95, 287.75), (453.0, 289.0), (450.69, 361.87), (460.53, 369.39), (468.64, 377.5), (464.0, 383.87), (444.9, 389.66), (407.26, 393.13), (381.79, 383.87)], [(327.63, 203.45), (330.15, 188.52), (336.74, 187.74), (337.71, 205.0)], [(320.65, 194.34), (322.59, 183.87), (327.05, 182.51), (327.63, 195.5)]]"
29,530_f5df69c25586a13fdb7352e53f1f12862dd53e736c0e738cc34dbced28ab7e542c53e62731493dacc8d0a519df17e644d65f6edc4c5080f869ec9819f3cb69d0_18.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/530_f5df69c25586a13fdb7352e53f1f12862dd53e736c0e738cc34dbced28ab7e542c53e62731493dacc8d0a519df17e644d65f6edc4c5080f869ec9819f3cb69d0_18.jpg,"[[(181.86, 180.73), (181.05, 158.62), (193.12, 156.61), (195.53, 180.33)], [(20.0, 225.0), (21.83, 182.34), (37.0, 183.0), (44.0, 224.0)]]"
30,531_f5df69c25586a13fdb7352e53f1f12862dd53e736c0e738cc34dbced28ab7e542c53e62731493dacc8d0a519df17e644d65f6edc4c5080f869ec9819f3cb69d0_35.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/531_f5df69c25586a13fdb7352e53f1f12862dd53e736c0e738cc34dbced28ab7e542c53e62731493dacc8d0a519df17e644d65f6edc4c5080f869ec9819f3cb69d0_35.jpg,"[[(295.0, 146.0), (295.77, 135.45), (300.78, 135.78), (300.94, 146.28)], [(306.24, 149.85), (306.56, 139.35), (312.0, 139.0), (312.0, 153.0)], [(192.94, 156.48), (193.27, 143.08), (200.64, 143.08), (203.32, 158.49)], [(141.0, 166.0), (141.0, 148.1), (150.72, 148.1), (153.06, 166.87)], [(231.13, 169.55), (231.8, 148.77), (242.86, 147.77), (243.53, 171.22)], [(108.0, 209.0), (105.48, 175.24), (104.81, 170.22), (89.4, 169.21), (90.4, 201.71)]]"
31,532_f5df69c25586a13fdb7352e53f1f12862dd53e736c0e738cc34dbced28ab7e542c53e62731493dacc8d0a519df17e644d65f6edc4c5080f869ec9819f3cb69d0_76.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/532_f5df69c25586a13fdb7352e53f1f12862dd53e736c0e738cc34dbced28ab7e542c53e62731493dacc8d0a519df17e644d65f6edc4c5080f869ec9819f3cb69d0_76.jpg,"[[(326.0, 150.0), (325.92, 141.04), (330.9, 141.04), (331.31, 149.33)], [(9.48, 209.59), (11.22, 176.0), (26.27, 175.43), (30.33, 208.43), (34.96, 210.17), (31.48, 213.64), (14.69, 215.96)], [(110.23, 191.64), (113.12, 162.11), (130.49, 161.53), (129.34, 190.48)], [(61.59, 179.48), (62.17, 157.48), (73.75, 156.32), (73.75, 180.06)], [(136.29, 166.74), (135.13, 150.53), (142.07, 149.95), (144.97, 166.16)], [(198.0, 173.0), (198.24, 150.53), (209.82, 150.53), (214.0, 172.0)], [(235.0, 161.0), (235.3, 143.34), (246.55, 142.94), (248.0, 160.0)], [(359.33, 155.42), (360.11, 143.78), (367.0, 144.0), (367.28, 156.0)], [(331.99, 152.88), (332.57, 143.4), (336.65, 143.01), (338.2, 154.26)]]"
47,548_3c82ac58524223af18f5e7bd0e972c4f150ee10a1a8751c758269cfa48634c9695721f46dec9a41910b9c906dccfefe18ae80fd947d9342e890c43cf9525186b_1.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/548_3c82ac58524223af18f5e7bd0e972c4f150ee10a1a8751c758269cfa48634c9695721f46dec9a41910b9c906dccfefe18ae80fd947d9342e890c43cf9525186b_1.jpg,"[[(605.0, 439.0), (623.23, 352.02), (639.45, 343.34), (655.66, 345.66), (659.71, 357.81), (656.0, 440.0)], [(453.55, 317.8), (458.38, 285.24), (473.25, 275.99), (480.89, 280.41), (480.49, 321.42)], [(422.19, 288.45), (424.2, 264.33), (435.46, 261.11), (443.1, 273.98), (443.5, 290.06)]]"
48,549_3c82ac58524223af18f5e7bd0e972c4f150ee10a1a8751c758269cfa48634c9695721f46dec9a41910b9c906dccfefe18ae80fd947d9342e890c43cf9525186b_43.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/549_3c82ac58524223af18f5e7bd0e972c4f150ee10a1a8751c758269cfa48634c9695721f46dec9a41910b9c906dccfefe18ae80fd947d9342e890c43cf9525186b_43.jpg,"[[(520.0, 377.0), (523.38, 310.69), (544.22, 310.0), (556.03, 312.78), (553.95, 376.7)]]"
53,554_f0b549ec6900c651d8b1e106fcb7a2ab8549d7835e1f0895ec303d7b6fe450123471298b1812871284726642a3c91f1af0c012f05c22a3112584465e2a643e65_15.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/554_f0b549ec6900c651d8b1e106fcb7a2ab8549d7835e1f0895ec303d7b6fe450123471298b1812871284726642a3c91f1af0c012f05c22a3112584465e2a643e65_15.jpg,"[[(85.91, 271.54), (88.81, 241.43), (109.07, 238.54), (109.65, 273.86)]]"
