,name,path,machine
13,514_5340d743f85a1d7adca9b510d713f3746a833f9ddeb508a3830016337a434eda72fb8223945ee4cdead3ca5283ae71005edc6425a18ebcc9ee40a782b9ddd7d2_73.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/514_5340d743f85a1d7adca9b510d713f3746a833f9ddeb508a3830016337a434eda72fb8223945ee4cdead3ca5283ae71005edc6425a18ebcc9ee40a782b9ddd7d2_73.jpg,"[[(169.29, 242.59), (168.71, 228.12), (176.82, 226.96), (172.18, 201.48), (143.81, 198.59), (145.55, 186.43), (140.34, 174.27), (128.18, 160.37), (122.39, 168.48), (120.07, 158.06), (117.18, 159.21), (95.75, 222.9), (98.65, 232.75), (107.91, 235.64), (120.07, 230.43), (127.02, 230.43), (138.6, 231.59), (144.97, 236.8), (150.76, 244.91), (155.39, 247.8), (162.34, 245.49)]]"
35,536_ba93a13edc01bc6a287b3e736bcbe74958aeb10dc9d0c1172fd640d52782e48cb233e652e9317493c62404c5f9e13701d2fd6a439544572c04c52d18a6074bab_110.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/536_ba93a13edc01bc6a287b3e736bcbe74958aeb10dc9d0c1172fd640d52782e48cb233e652e9317493c62404c5f9e13701d2fd6a439544572c04c52d18a6074bab_110.jpg,"[[(490.86, 256.0), (499.31, 257.61), (502.12, 227.86), (503.73, 213.38), (520.62, 211.37), (528.66, 214.19), (531.88, 217.0), (532.28, 230.27), (537.51, 227.45), (539.92, 216.6), (545.15, 207.35), (556.0, 198.91), (562.03, 200.11), (567.26, 207.35), (570.88, 223.03), (574.1, 242.33), (577.31, 247.56), (578.92, 255.6), (580.53, 262.84), (564.45, 261.63), (556.41, 258.01), (555.6, 244.74), (558.01, 240.32), (565.65, 241.53), (565.65, 228.26), (562.44, 209.76), (557.21, 206.95), (552.38, 215.79), (548.36, 230.27), (546.35, 242.73), (545.15, 253.99), (548.36, 258.42), (549.57, 266.46), (541.93, 268.07), (523.03, 270.08), (507.75, 270.48), (495.29, 267.26)]]"
38,539_ba93a13edc01bc6a287b3e736bcbe74958aeb10dc9d0c1172fd640d52782e48cb233e652e9317493c62404c5f9e13701d2fd6a439544572c04c52d18a6074bab_97.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/539_ba93a13edc01bc6a287b3e736bcbe74958aeb10dc9d0c1172fd640d52782e48cb233e652e9317493c62404c5f9e13701d2fd6a439544572c04c52d18a6074bab_97.jpg,"[[(459.07, 248.79), (447.21, 243.9), (449.53, 240.18), (453.02, 239.95), (453.95, 232.5), (453.02, 223.19), (452.79, 227.62), (446.74, 226.22), (443.48, 224.36), (446.74, 218.54), (454.89, 214.58), (459.07, 207.6), (464.19, 203.42), (470.48, 202.48), (477.69, 205.74), (482.11, 208.53), (485.6, 212.49), (492.58, 217.84), (495.37, 222.03), (497.7, 226.22), (500.96, 230.64), (501.42, 237.16), (501.42, 242.51), (493.74, 242.97), (489.32, 240.41), (490.72, 232.04), (489.32, 229.01), (481.64, 225.06), (480.95, 230.87), (480.95, 235.29), (480.95, 237.85), (476.76, 238.09), (473.73, 238.55), (473.73, 239.48), (483.27, 240.18), (485.6, 240.18), (485.6, 243.44), (475.83, 248.56), (469.54, 247.86)]]"
43,544_c1353ff48551f12d192b8a8e18594d7bbb248888aeae0fbce0f9b8c4cfea94e0dcadb0395b8f9796f3e5c09c5d2488bbfbabcb9ec74e2b38e970eacc44d6141f_5.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/544_c1353ff48551f12d192b8a8e18594d7bbb248888aeae0fbce0f9b8c4cfea94e0dcadb0395b8f9796f3e5c09c5d2488bbfbabcb9ec74e2b38e970eacc44d6141f_5.jpg,"[[(541.0, 162.0), (578.0, 163.0), (629.51, 168.43), (623.47, 221.1), (653.63, 244.02), (678.96, 305.54), (733.65, 303.13), (740.48, 365.85), (636.34, 383.14), (610.61, 368.67), (611.01, 346.55), (625.89, 315.19), (585.28, 230.35), (626.29, 315.59), (611.41, 346.55), (595.73, 348.56), (566.38, 340.52), (554.31, 325.65), (526.57, 305.14), (519.73, 295.09), (512.9, 280.61), (509.68, 270.16), (510.89, 256.49), (522.95, 235.98), (531.0, 225.0), (528.98, 221.5), (523.76, 211.45), (523.76, 198.99), (524.56, 180.09), (531.4, 175.67), (531.4, 181.7), (541.05, 180.49)]]"
48,549_3c82ac58524223af18f5e7bd0e972c4f150ee10a1a8751c758269cfa48634c9695721f46dec9a41910b9c906dccfefe18ae80fd947d9342e890c43cf9525186b_43.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/549_3c82ac58524223af18f5e7bd0e972c4f150ee10a1a8751c758269cfa48634c9695721f46dec9a41910b9c906dccfefe18ae80fd947d9342e890c43cf9525186b_43.jpg,"[[(427.25, 272.85), (427.66, 263.6), (432.48, 262.4), (437.31, 271.24), (442.13, 271.24), (442.94, 266.42), (451.38, 252.34), (453.39, 241.09), (450.17, 222.99), (451.0, 211.0), (482.0, 208.0), (480.33, 217.76), (491.59, 216.16), (492.79, 223.8), (490.38, 224.6), (490.78, 246.71), (494.0, 247.92), (495.61, 253.55), (502.85, 270.84), (510.08, 270.44), (509.68, 286.92), (512.09, 292.15), (511.29, 298.18), (452.99, 301.8), (451.38, 297.38), (443.34, 292.15), (436.9, 282.1)]]"
49,550_3c82ac58524223af18f5e7bd0e972c4f150ee10a1a8751c758269cfa48634c9695721f46dec9a41910b9c906dccfefe18ae80fd947d9342e890c43cf9525186b_60.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/550_3c82ac58524223af18f5e7bd0e972c4f150ee10a1a8751c758269cfa48634c9695721f46dec9a41910b9c906dccfefe18ae80fd947d9342e890c43cf9525186b_60.jpg,"[[(435.79, 268.12), (437.65, 250.78), (477.27, 250.16), (476.66, 236.54), (450.03, 235.92), (448.79, 221.68), (493.99, 217.35), (478.51, 179.58), (435.79, 53.26), (412.57, 0.0), (452.63, 0.0), (515.79, 135.18), (523.47, 53.51), (514.24, 47.32), (512.69, 33.45), (549.66, 41.19), (535.79, 175.86), (600.18, 177.72), (604.52, 245.83), (605.75, 253.26), (615.04, 256.35), (619.99, 271.21), (604.52, 273.07), (580.99, 277.41), (574.79, 280.5), (557.46, 281.74), (520.93, 279.26), (515.97, 281.12), (515.97, 285.45), (493.06, 288.55), (462.72, 278.64)]]"
54,555_f0b549ec6900c651d8b1e106fcb7a2ab8549d7835e1f0895ec303d7b6fe450123471298b1812871284726642a3c91f1af0c012f05c22a3112584465e2a643e65_29.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/555_f0b549ec6900c651d8b1e106fcb7a2ab8549d7835e1f0895ec303d7b6fe450123471298b1812871284726642a3c91f1af0c012f05c22a3112584465e2a643e65_29.jpg,"[[(82.94, 218.25), (86.96, 217.04), (87.37, 201.36), (111.09, 189.7), (111.09, 176.83), (148.48, 174.82), (152.51, 191.71), (158.13, 194.52), (158.94, 201.36), (168.19, 205.38), (191.91, 230.71), (173.01, 231.11), (146.88, 232.72), (131.6, 235.94), (120.34, 228.3), (113.1, 225.89), (112.7, 233.12), (102.65, 235.94), (89.78, 228.7)]]"
55,556_f0b549ec6900c651d8b1e106fcb7a2ab8549d7835e1f0895ec303d7b6fe450123471298b1812871284726642a3c91f1af0c012f05c22a3112584465e2a643e65_40.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/556_f0b549ec6900c651d8b1e106fcb7a2ab8549d7835e1f0895ec303d7b6fe450123471298b1812871284726642a3c91f1af0c012f05c22a3112584465e2a643e65_40.jpg,"[[(247.08, 228.94), (248.28, 218.89), (250.29, 210.85), (248.28, 205.22), (258.74, 202.81), (263.56, 191.15), (274.42, 192.35), (277.23, 195.97), (284.87, 183.1), (296.94, 177.47), (304.17, 173.86), (306.18, 181.9), (308.19, 221.7), (306.99, 228.94), (301.76, 229.75), (295.33, 224.92), (295.73, 216.48), (298.95, 212.86), (298.95, 198.79), (300.55, 188.33), (292.92, 189.94), (287.29, 193.16), (286.48, 202.4), (286.48, 208.03), (287.69, 211.65), (286.08, 217.28), (285.28, 221.7), (295.33, 221.3), (298.54, 228.54), (295.73, 230.55), (255.52, 231.76)]]"
64,565_543c122e8c7f4a34570431dd9ce7a4785df5cc455d50bd2f8dc37066ad609204a822b9729cb6a75d4620c1caa4daa9053dd7bd4e93445fe25b25d9b6ba2b8fc1_39.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/565_543c122e8c7f4a34570431dd9ce7a4785df5cc455d50bd2f8dc37066ad609204a822b9729cb6a75d4620c1caa4daa9053dd7bd4e93445fe25b25d9b6ba2b8fc1_39.jpg,"[[(581.43, 235.76), (579.11, 199.86), (606.9, 195.81), (599.96, 214.91), (629.49, 151.22), (633.54, 141.38), (641.07, 139.06), (653.23, 244.44), (645.12, 246.76), (638.17, 244.44), (643.38, 239.23), (639.33, 154.7), (633.54, 158.75), (621.96, 189.44), (612.12, 220.7), (631.8, 223.02), (634.7, 231.13), (634.7, 239.81), (624.28, 247.92), (613.27, 250.81), (580.85, 248.5)]]"
65,566_ca6ee41f4db57c7b27160cde699e902fa3be5c9cd6b49c708be26a25f870b88c05c1e0bf7dd8ae7fe6ff618679d58f47a263a38658b491f8d634766391b3ef6c_0.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/566_ca6ee41f4db57c7b27160cde699e902fa3be5c9cd6b49c708be26a25f870b88c05c1e0bf7dd8ae7fe6ff618679d58f47a263a38658b491f8d634766391b3ef6c_0.jpg,"[[(0.0, 147.07), (75.64, 155.4), (66.61, 163.05), (38.12, 168.61), (37.42, 193.62), (90.92, 204.04), (143.73, 215.85), (147.9, 240.87), (152.07, 240.87), (152.07, 256.85), (190.28, 261.71), (186.11, 295.76), (115.24, 324.94), (60.35, 328.41), (0.0, 324.24)]]"
