,name,path,person
35,536_ba93a13edc01bc6a287b3e736bcbe74958aeb10dc9d0c1172fd640d52782e48cb233e652e9317493c62404c5f9e13701d2fd6a439544572c04c52d18a6074bab_110.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/536_ba93a13edc01bc6a287b3e736bcbe74958aeb10dc9d0c1172fd640d52782e48cb233e652e9317493c62404c5f9e13701d2fd6a439544572c04c52d18a6074bab_110.jpg,"[[(394.9, 233.64), (399.75, 228.3), (399.75, 224.59), (402.18, 223.46), (404.28, 225.39), (405.73, 229.27), (404.92, 233.15), (401.85, 234.93), (403.47, 237.19), (404.44, 244.79), (396.2, 244.46)], [(444.0, 250.86), (445.16, 237.48), (442.06, 237.48), (443.61, 233.99), (446.9, 230.5), (446.71, 225.46), (450.2, 222.74), (451.17, 226.04), (452.14, 230.11), (454.66, 233.99), (458.54, 238.26), (459.31, 240.39), (456.02, 241.17), (455.24, 254.16), (455.82, 269.86), (449.23, 270.45), (450.2, 257.07), (447.87, 270.25), (443.41, 259.78), (443.03, 254.35)], [(430.69, 245.88), (431.08, 237.73), (429.92, 236.57), (429.34, 234.24), (431.66, 232.5), (431.27, 228.62), (432.83, 224.55), (434.57, 223.38), (436.7, 228.04), (438.45, 232.3), (440.39, 234.83), (442.91, 236.96), (443.49, 240.25), (442.33, 243.94), (441.55, 250.92), (440.97, 254.41), (437.67, 249.95)]]"
38,539_ba93a13edc01bc6a287b3e736bcbe74958aeb10dc9d0c1172fd640d52782e48cb233e652e9317493c62404c5f9e13701d2fd6a439544572c04c52d18a6074bab_97.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/539_ba93a13edc01bc6a287b3e736bcbe74958aeb10dc9d0c1172fd640d52782e48cb233e652e9317493c62404c5f9e13701d2fd6a439544572c04c52d18a6074bab_97.jpg,"[[(414.16, 238.32), (412.77, 227.15), (414.16, 223.19), (413.93, 219.94), (417.19, 219.24), (418.12, 221.1), (418.12, 222.73), (420.91, 224.13), (423.01, 227.85), (424.4, 232.04), (425.33, 235.29), (423.7, 234.13), (421.38, 228.55), (422.08, 235.53), (423.24, 238.32), (420.21, 240.88), (419.98, 245.07), (420.68, 247.16), (417.19, 246.7), (416.72, 242.74), (416.26, 245.53), (414.63, 245.53)], [(404.86, 236.69), (405.55, 224.36), (407.65, 219.94), (409.28, 219.94), (411.14, 223.89), (411.14, 226.68), (411.6, 231.57), (411.6, 236.92)]]"
42,543_c1353ff48551f12d192b8a8e18594d7bbb248888aeae0fbce0f9b8c4cfea94e0dcadb0395b8f9796f3e5c09c5d2488bbfbabcb9ec74e2b38e970eacc44d6141f_18.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/543_c1353ff48551f12d192b8a8e18594d7bbb248888aeae0fbce0f9b8c4cfea94e0dcadb0395b8f9796f3e5c09c5d2488bbfbabcb9ec74e2b38e970eacc44d6141f_18.jpg,"[[(584.9, 374.66), (593.01, 334.71), (594.17, 315.6), (594.75, 295.34), (602.85, 265.81), (612.69, 258.86), (616.75, 249.6), (623.12, 246.7), (630.07, 246.7), (639.33, 252.49), (637.01, 259.44), (637.01, 262.34), (637.59, 271.02), (629.49, 286.65), (624.85, 304.02), (617.33, 359.03), (617.91, 376.98), (605.0, 378.0), (610.38, 322.55), (604.01, 385.09), (589.53, 383.35)], [(700.7, 378.14), (700.7, 323.71), (712.86, 276.81), (700.7, 258.28), (698.39, 237.44), (687.97, 237.44), (686.23, 258.28), (681.02, 264.07), (682.76, 276.23), (674.65, 311.55), (661.91, 371.19), (680.0, 375.0), (685.65, 320.82), (681.02, 375.24)]]"
43,544_c1353ff48551f12d192b8a8e18594d7bbb248888aeae0fbce0f9b8c4cfea94e0dcadb0395b8f9796f3e5c09c5d2488bbfbabcb9ec74e2b38e970eacc44d6141f_5.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/544_c1353ff48551f12d192b8a8e18594d7bbb248888aeae0fbce0f9b8c4cfea94e0dcadb0395b8f9796f3e5c09c5d2488bbfbabcb9ec74e2b38e970eacc44d6141f_5.jpg,"[[(475.05, 276.78), (479.74, 257.39), (479.58, 253.19), (475.86, 244.62), (476.18, 227.98), (480.71, 222.32), (482.97, 219.9), (483.62, 213.44), (491.86, 212.95), (494.44, 222.49), (496.38, 225.39), (497.68, 232.5), (498.65, 251.41), (492.99, 256.26), (490.08, 285.67), (479.74, 282.92), (485.23, 254.8), (479.42, 283.73)]]"
65,566_ca6ee41f4db57c7b27160cde699e902fa3be5c9cd6b49c708be26a25f870b88c05c1e0bf7dd8ae7fe6ff618679d58f47a263a38658b491f8d634766391b3ef6c_0.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/566_ca6ee41f4db57c7b27160cde699e902fa3be5c9cd6b49c708be26a25f870b88c05c1e0bf7dd8ae7fe6ff618679d58f47a263a38658b491f8d634766391b3ef6c_0.jpg,"[[(164.96, 242.36), (164.29, 238.0), (164.62, 234.65), (168.64, 234.99), (170.65, 237.0), (171.32, 242.36), (189.08, 247.05), (180.7, 258.11), (181.71, 265.14), (156.91, 261.79), (157.25, 251.74), (157.92, 245.37), (161.94, 243.7)]]"
81,582_613eae71b4869b45ba90a2b538e4a6dc6e23388e16e0c20e00d6cfeef9489a98663886c55e449127f92544564ed5002a99c8045d57b9de82a0e362a4c4d20522_30.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/582_613eae71b4869b45ba90a2b538e4a6dc6e23388e16e0c20e00d6cfeef9489a98663886c55e449127f92544564ed5002a99c8045d57b9de82a0e362a4c4d20522_30.jpg,"[[(140.63, 298.02), (139.18, 291.27), (137.73, 287.41), (131.46, 287.89), (132.91, 291.75), (132.91, 296.09), (128.56, 300.92), (129.05, 307.67), (133.87, 307.67), (139.18, 302.85)]]"
111,612_9fae835108dcbf7059e9cd100c7f539d68f6d3102d4db7551b1bb37ada341686f4c67d7f4c5daceb5992f482cf1fe6872a6ff44161f95e9046d30d76bac962ed_45.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/612_9fae835108dcbf7059e9cd100c7f539d68f6d3102d4db7551b1bb37ada341686f4c67d7f4c5daceb5992f482cf1fe6872a6ff44161f95e9046d30d76bac962ed_45.jpg,"[[(252.19, 198.02), (250.79, 191.32), (251.63, 185.45), (254.98, 179.87), (254.98, 177.08), (257.49, 174.28), (261.12, 174.28), (261.4, 179.31), (264.75, 182.66), (265.59, 187.13), (267.27, 192.99), (268.38, 196.34), (266.43, 196.06), (264.47, 191.32), (264.19, 189.64), (261.68, 192.43), (261.68, 196.62)]]"
120,621_9ae9dcbed786018cab38469ec3f64cedf737d6b21b585946cc0fe4a4b5f6ada341bbc31b845af61cf951162976e6f97d8da401fe54271036d96103bd61baff8d_30.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/621_9ae9dcbed786018cab38469ec3f64cedf737d6b21b585946cc0fe4a4b5f6ada341bbc31b845af61cf951162976e6f97d8da401fe54271036d96103bd61baff8d_30.jpg,"[[(58.08, 277.04), (60.4, 276.57), (59.94, 267.03), (63.2, 267.96), (64.59, 261.68), (62.03, 258.66), (60.4, 254.0), (56.68, 253.77), (56.45, 256.1), (54.59, 258.66), (55.75, 261.45), (55.52, 264.47), (57.61, 269.83)]]"
125,626_597eb8386133a3da5a965bdf45b981a342be1e553ad20a6c6d19ac618b23bca6495cd55f5a57082121c3926af48b174870bff09e1709c0cc70060b13f4cb9a11_94.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/626_597eb8386133a3da5a965bdf45b981a342be1e553ad20a6c6d19ac618b23bca6495cd55f5a57082121c3926af48b174870bff09e1709c0cc70060b13f4cb9a11_94.jpg,"[[(56.87, 278.85), (60.29, 278.85), (60.02, 272.57), (60.56, 268.06), (63.7, 268.34), (64.11, 261.64), (64.66, 257.54), (61.65, 253.17), (56.33, 253.17), (54.55, 257.0), (55.37, 264.78), (56.6, 268.88), (57.56, 271.75)]]"
138,639_6885be5a79f2d9de9304e34396b448fe14a56216b5dc25222a8708ff40f9bd82d5d7fa3ad93e335a839f053366c87f46485e0689805032bf8773d4096530899e_69.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/639_6885be5a79f2d9de9304e34396b448fe14a56216b5dc25222a8708ff40f9bd82d5d7fa3ad93e335a839f053366c87f46485e0689805032bf8773d4096530899e_69.jpg,"[[(568.37, 228.42), (572.1, 228.01), (571.68, 225.72), (572.72, 223.86), (573.14, 220.75), (572.93, 216.81), (574.59, 213.7), (576.25, 212.25), (576.25, 207.89), (572.51, 205.82), (572.93, 203.74), (574.17, 201.46), (573.76, 198.56), (572.31, 197.52), (569.2, 198.77), (567.74, 203.33), (569.2, 210.17), (569.4, 216.19), (568.99, 221.37)], [(497.86, 188.81), (503.26, 190.06), (504.71, 188.81), (504.71, 183.22), (503.05, 182.8), (502.63, 179.48), (499.73, 179.28), (498.69, 181.97), (497.03, 183.01)]]"
