,name,path,sign
0,501_7f5c40a4a4277bf6e6bfad7679968e3208671eabe5e9199811d836e8e6a4e0821ecdf02f9810c3be2f9435b6d3dd1966ad34864e82de871f6525cb7c5ccceb7f_44.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/501_7f5c40a4a4277bf6e6bfad7679968e3208671eabe5e9199811d836e8e6a4e0821ecdf02f9810c3be2f9435b6d3dd1966ad34864e82de871f6525cb7c5ccceb7f_44.jpg,"[[(435.0, 267.0), (471.54, 307.15), (513.23, 268.94), (475.71, 227.94)]]"
3,504_7f5c40a4a4277bf6e6bfad7679968e3208671eabe5e9199811d836e8e6a4e0821ecdf02f9810c3be2f9435b6d3dd1966ad34864e82de871f6525cb7c5ccceb7f_9.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/504_7f5c40a4a4277bf6e6bfad7679968e3208671eabe5e9199811d836e8e6a4e0821ecdf02f9810c3be2f9435b6d3dd1966ad34864e82de871f6525cb7c5ccceb7f_9.jpg,"[[(517.76, 295.17), (554.91, 348.25), (614.26, 300.97), (571.0, 244.0)]]"
4,505_7f5c40a4a4277bf6e6bfad7679968e3208671eabe5e9199811d836e8e6a4e0821ecdf02f9810c3be2f9435b6d3dd1966ad34864e82de871f6525cb7c5ccceb7f_99.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/505_7f5c40a4a4277bf6e6bfad7679968e3208671eabe5e9199811d836e8e6a4e0821ecdf02f9810c3be2f9435b6d3dd1966ad34864e82de871f6525cb7c5ccceb7f_99.jpg,"[[(582.0, 240.0), (577.92, 292.49), (634.89, 301.52), (637.67, 248.02)]]"
7,508_5d80e9b6974cb8be547ad9a98d774346390172b19f51c03e00dc3876225bf9c7461b8d551ad6c748819b1bebd0b68147fdd0e214dc5705ab4339a1d0b6590414_29.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/508_5d80e9b6974cb8be547ad9a98d774346390172b19f51c03e00dc3876225bf9c7461b8d551ad6c748819b1bebd0b68147fdd0e214dc5705ab4339a1d0b6590414_29.jpg,"[[(454.74, 283.12), (495.0, 332.0), (549.12, 284.28), (506.27, 229.85)]]"
16,517_99602c5a80cea6f579d602fef1453ef75fd14ff6fab15deb6eca9ceae1e11b7c324876a87013db089d96b80a0000639178fe2012c3f0224b87c05aa7fc750f03_16.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/517_99602c5a80cea6f579d602fef1453ef75fd14ff6fab15deb6eca9ceae1e11b7c324876a87013db089d96b80a0000639178fe2012c3f0224b87c05aa7fc750f03_16.jpg,"[[(370.0, 224.0), (357.59, 212.17), (365.97, 201.78), (377.7, 208.82)]]"
17,518_99602c5a80cea6f579d602fef1453ef75fd14ff6fab15deb6eca9ceae1e11b7c324876a87013db089d96b80a0000639178fe2012c3f0224b87c05aa7fc750f03_30.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/518_99602c5a80cea6f579d602fef1453ef75fd14ff6fab15deb6eca9ceae1e11b7c324876a87013db089d96b80a0000639178fe2012c3f0224b87c05aa7fc750f03_30.jpg,"[[(587.58, 258.17), (632.05, 310.97), (684.16, 257.47), (635.52, 190.07)]]"
18,519_99602c5a80cea6f579d602fef1453ef75fd14ff6fab15deb6eca9ceae1e11b7c324876a87013db089d96b80a0000639178fe2012c3f0224b87c05aa7fc750f03_77.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/519_99602c5a80cea6f579d602fef1453ef75fd14ff6fab15deb6eca9ceae1e11b7c324876a87013db089d96b80a0000639178fe2012c3f0224b87c05aa7fc750f03_77.jpg,"[[(309.48, 226.53), (318.0, 236.0), (328.0, 228.0), (319.94, 215.27)], [(211.37, 216.08), (223.03, 222.91), (233.89, 212.05), (221.83, 197.98)]]"
25,526_e48ff976906b90414e7a9b19cb484238667f145e27d3ca4f71c818eb77d8df0be69c6470ccf8285fe4e0f038d4ff59703e3f48804df4db0217117290a3e22c99_39.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/526_e48ff976906b90414e7a9b19cb484238667f145e27d3ca4f71c818eb77d8df0be69c6470ccf8285fe4e0f038d4ff59703e3f48804df4db0217117290a3e22c99_39.jpg,"[[(505.93, 269.17), (558.0, 323.0), (609.19, 268.2), (559.98, 206.01)]]"
28,529_4bd43ec882cbc91d898e31928ca973584720e7f0e92cb1d3dfe912d3a7b3ef78f3f5b8a8f0462a0a73912fbd6a59391a580ef3aa230ab1fea092af9408e9d4ce_39.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/529_4bd43ec882cbc91d898e31928ca973584720e7f0e92cb1d3dfe912d3a7b3ef78f3f5b8a8f0462a0a73912fbd6a59391a580ef3aa230ab1fea092af9408e9d4ce_39.jpg,"[[(502.51, 273.37), (548.35, 323.06), (617.35, 270.47), (558.0, 200.99)]]"
29,530_f5df69c25586a13fdb7352e53f1f12862dd53e736c0e738cc34dbced28ab7e542c53e62731493dacc8d0a519df17e644d65f6edc4c5080f869ec9819f3cb69d0_18.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/530_f5df69c25586a13fdb7352e53f1f12862dd53e736c0e738cc34dbced28ab7e542c53e62731493dacc8d0a519df17e644d65f6edc4c5080f869ec9819f3cb69d0_18.jpg,"[[(477.8, 145.35), (501.12, 170.28), (528.46, 146.96), (502.32, 118.01)]]"
32,533_79bca55cf36210a5d6e8e947ad95197a4896efb9ae88f88679f25796801046edcab07e6daea5b4bd13dc2f92cb3f9c16cfe52fde9ae910b09f4f864a7603368d_30.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/533_79bca55cf36210a5d6e8e947ad95197a4896efb9ae88f88679f25796801046edcab07e6daea5b4bd13dc2f92cb3f9c16cfe52fde9ae910b09f4f864a7603368d_30.jpg,"[[(470.37, 270.38), (513.0, 314.0), (555.49, 276.75), (510.33, 218.85)]]"
49,550_3c82ac58524223af18f5e7bd0e972c4f150ee10a1a8751c758269cfa48634c9695721f46dec9a41910b9c906dccfefe18ae80fd947d9342e890c43cf9525186b_60.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/550_3c82ac58524223af18f5e7bd0e972c4f150ee10a1a8751c758269cfa48634c9695721f46dec9a41910b9c906dccfefe18ae80fd947d9342e890c43cf9525186b_60.jpg,"[[(381.18, 237.59), (392.32, 249.36), (404.09, 238.83), (392.94, 223.35)]]"
