,path,name,workzone,tod
0,data/Delivery_1_Workzone/Day/Batch 1.2/Images/779_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf040_77.jpg,68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954,1,1
1,data/Delivery_1_Workzone/Day/Batch 1.2/Images/558_c944d36dfec57bdcd664c5b872998bd35e68d0c046ae39d3a77681c91a5b8f1da37645f1b073ab0b8ab1aaf723701ac93f5a5ccfe6ffba290748904d7f4ffed0_10.jpg,c944d36dfec57bdcd664c5b872998bd35e68d0c046ae39d3a77681c91a5b8f1da37645f1b073ab0b8ab1aaf723701ac93f5a5ccfe6ffba290748904d7f4ffed0,1,1
3,data/Delivery_1_Workzone/Day/Batch 1.2/Images/816_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng021_34.jpg,68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954,1,1
4,data/Delivery_1_Workzone/Day/Batch 1.2/Images/514_5340d743f85a1d7adca9b510d713f3746a833f9ddeb508a3830016337a434eda72fb8223945ee4cdead3ca5283ae71005edc6425a18ebcc9ee40a782b9ddd7d2_73.jpg,5340d743f85a1d7adca9b510d713f3746a833f9ddeb508a3830016337a434eda72fb8223945ee4cdead3ca5283ae71005edc6425a18ebcc9ee40a782b9ddd7d2,1,1
6,data/Delivery_1_Workzone/Day/Batch 1.2/Images/948_132200e658641f9e024c30666189f32c92d705183b98374f39644da6eacf4c0a4d9023d9ee719f92bea04ca38d4a9ef28849db523986d252233acd0f8eceb7fe_29.jpg,132200e658641f9e024c30666189f32c92d705183b98374f39644da6eacf4c0a4d9023d9ee719f92bea04ca38d4a9ef28849db523986d252233acd0f8eceb7fe,1,1
7,data/Delivery_1_Workzone/Day/Batch 1.2/Images/838_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng027_30.jpg,68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954,1,1
8,data/Delivery_1_Workzone/Day/Batch 1.2/Images/799_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng007_30.jpg,68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954,1,1
9,data/Delivery_1_Workzone/Day/Batch 1.2/Images/673_7ee9b726e4ab4def75af55b9d93a13c9ec9a6354666be9c0b59ac43f653c7d9987474d16f4d8dc83c173be5119468cfd553087ecb4a6727d8d8e40d4ccb9adcb_56.jpg,7ee9b726e4ab4def75af55b9d93a13c9ec9a6354666be9c0b59ac43f653c7d9987474d16f4d8dc83c173be5119468cfd553087ecb4a6727d8d8e40d4ccb9adcb,1,1
10,data/Delivery_1_Workzone/Day/Batch 1.2/Images/876_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng036_67.jpg,68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954,1,1
12,data/Delivery_1_Workzone/Day/Batch 1.2/Images/681_6c1b7c5658d044a46657c0deaf687d8a7a3f95d25ff021cea28dbb3a2b74cd2799aeb878a751fd37d30f44534c0e8a9665774d3eb771f9238ed1df64b73cec15_29.jpg,6c1b7c5658d044a46657c0deaf687d8a7a3f95d25ff021cea28dbb3a2b74cd2799aeb878a751fd37d30f44534c0e8a9665774d3eb771f9238ed1df64b73cec15,1,1
13,data/Delivery_1_Workzone/Day/Batch 1.2/Images/761_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf034_13.jpg,68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954,1,1
14,data/Delivery_1_Workzone/Day/Batch 1.2/Images/517_99602c5a80cea6f579d602fef1453ef75fd14ff6fab15deb6eca9ceae1e11b7c324876a87013db089d96b80a0000639178fe2012c3f0224b87c05aa7fc750f03_16.jpg,99602c5a80cea6f579d602fef1453ef75fd14ff6fab15deb6eca9ceae1e11b7c324876a87013db089d96b80a0000639178fe2012c3f0224b87c05aa7fc750f03,1,1
15,data/Delivery_1_Workzone/Day/Batch 1.2/Images/694_ec2a2974ea7c20287157a4f8596ccae76e38cbaafeb15b6eae1d28e2f1580721c4b52b03964beb3676d3b47c7312b611ba70c42b3edfb7ba77611d34a5035c4f_67.jpg,ec2a2974ea7c20287157a4f8596ccae76e38cbaafeb15b6eae1d28e2f1580721c4b52b03964beb3676d3b47c7312b611ba70c42b3edfb7ba77611d34a5035c4f,1,1
16,data/Delivery_1_Workzone/Day/Batch 1.2/Images/773_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf037_2.jpg,68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954,1,1
17,data/Delivery_1_Workzone/Day/Batch 1.2/Images/924_c6549f0a5ae74bb4d2bd7d4d509712ad21871a7b3b68d051eea61ce5d05d86c7846dabffc1126ec05185d531e876f71406193476c430f0c6795a8cf8c5219bff_47.jpg,c6549f0a5ae74bb4d2bd7d4d509712ad21871a7b3b68d051eea61ce5d05d86c7846dabffc1126ec05185d531e876f71406193476c430f0c6795a8cf8c5219bff,1,1
18,data/Delivery_1_Workzone/Day/Batch 1.2/Images/698_2bd9ec3d466954a24618263010d9680afa15d6f2efea2460c72db994454f218567007a832c5c12c6c127ef61375c32a09e424210e411ed90781957e16e95c02c_59.jpg,2bd9ec3d466954a24618263010d9680afa15d6f2efea2460c72db994454f218567007a832c5c12c6c127ef61375c32a09e424210e411ed90781957e16e95c02c,1,1
19,data/Delivery_1_Workzone/Day/Batch 1.2/Images/824_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng024_42.jpg,68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954,1,1
21,data/Delivery_1_Workzone/Day/Batch 1.2/Images/637_6885be5a79f2d9de9304e34396b448fe14a56216b5dc25222a8708ff40f9bd82d5d7fa3ad93e335a839f053366c87f46485e0689805032bf8773d4096530899e_24.jpg,6885be5a79f2d9de9304e34396b448fe14a56216b5dc25222a8708ff40f9bd82d5d7fa3ad93e335a839f053366c87f46485e0689805032bf8773d4096530899e,1,1
22,data/Delivery_1_Workzone/Day/Batch 1.2/Images/793_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf057_26.jpg,68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954,1,1
23,data/Delivery_1_Workzone/Day/Batch 1.2/Images/722_d46d163a93c2fd6254f4d3c450a34a8fe5f7b0fd5e35f9dfab98c056cfb3d7db3c10653c7705bb898f6ecf7ced943f8e6120db1b200ffce95f20398c59a3fbd4_77.jpg,d46d163a93c2fd6254f4d3c450a34a8fe5f7b0fd5e35f9dfab98c056cfb3d7db3c10653c7705bb898f6ecf7ced943f8e6120db1b200ffce95f20398c59a3fbd4,1,1
24,data/Delivery_1_Workzone/Day/Batch 1.2/Images/879_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng037_27.jpg,68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954,1,1
26,data/Delivery_1_Workzone/Day/Batch 1.2/Images/801_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng007_77.jpg,68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954,1,1
27,data/Delivery_1_Workzone/Day/Batch 1.2/Images/568_5ba4ae3c9b9b3817dc6fe71941e36d1a47bf1066ba2da6b0d1331835ff737f1547c4fd954b78046c32a2619de6753bffb21c855ea378fb64ecd89a0e95a426ce_2.jpg,5ba4ae3c9b9b3817dc6fe71941e36d1a47bf1066ba2da6b0d1331835ff737f1547c4fd954b78046c32a2619de6753bffb21c855ea378fb64ecd89a0e95a426ce,1,1
28,data/Delivery_1_Workzone/Day/Batch 1.2/Images/570_5ba4ae3c9b9b3817dc6fe71941e36d1a47bf1066ba2da6b0d1331835ff737f1547c4fd954b78046c32a2619de6753bffb21c855ea378fb64ecd89a0e95a426ce_43.jpg,5ba4ae3c9b9b3817dc6fe71941e36d1a47bf1066ba2da6b0d1331835ff737f1547c4fd954b78046c32a2619de6753bffb21c855ea378fb64ecd89a0e95a426ce,1,1
29,data/Delivery_1_Workzone/Day/Batch 1.2/Images/513_5340d743f85a1d7adca9b510d713f3746a833f9ddeb508a3830016337a434eda72fb8223945ee4cdead3ca5283ae71005edc6425a18ebcc9ee40a782b9ddd7d2_49.jpg,5340d743f85a1d7adca9b510d713f3746a833f9ddeb508a3830016337a434eda72fb8223945ee4cdead3ca5283ae71005edc6425a18ebcc9ee40a782b9ddd7d2,1,1
30,data/Delivery_1_Workzone/Day/Batch 1.2/Images/744_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf028_52.jpg,68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954,1,1
31,data/Delivery_1_Workzone/Day/Batch 1.2/Images/790_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf051_1.jpg,68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954,1,1
32,data/Delivery_1_Workzone/Day/Batch 1.2/Images/886_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_ng049_33.jpg,68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954,1,1
33,data/Delivery_1_Workzone/Day/Batch 1.2/Images/785_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf043_0.jpg,68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954,1,1
