,path,name,workzone,points,tod
0,data/Delivery_1_Workzone/Day/Batch 1.2/Images/501_7f5c40a4a4277bf6e6bfad7679968e3208671eabe5e9199811d836e8e6a4e0821ecdf02f9810c3be2f9435b6d3dd1966ad34864e82de871f6525cb7c5ccceb7f_44.jpg,7f5c40a4a4277bf6e6bfad7679968e3208671eabe5e9199811d836e8e6a4e0821ecdf02f9810c3be2f9435b6d3dd1966ad34864e82de871f6525cb7c5ccceb7f,1,"[[(18.34, 338.94), (36.87, 344.73), (60.03, 338.36), (44.97, 329.67), (33.97, 277.56), (22.97, 278.72), (31.66, 333.15)], [(204.78, 268.3), (203.04, 242.24), (194.36, 242.82), (195.52, 265.98)], [(247.89, 254.99), (247.55, 231.2), (255.26, 229.86), (258.28, 253.99)], [(273.02, 249.63), (275.36, 234.22), (281.73, 233.55), (282.07, 250.3)], [(289.1, 246.28), (288.43, 233.55), (293.12, 233.21), (293.79, 246.61)], [(295.8, 244.6), (294.46, 231.54), (297.81, 231.54), (299.49, 246.61)], [(301.17, 243.6), (300.83, 232.21), (302.84, 229.86), (304.85, 244.27)], [(52.57, 275.53), (55.36, 274.41), (57.03, 246.77), (65.13, 247.61), (64.01, 272.74), (67.64, 274.14), (63.18, 278.04)], [(169.28, 253.75), (169.56, 232.81), (177.66, 231.69), (177.38, 252.63)], [(119.3, 261.57), (122.37, 239.79), (130.19, 239.79), (130.47, 261.01)], [(14.73, 240.76), (15.19, 235.41), (35.44, 235.64), (36.13, 241.93), (30.78, 241.93), (31.25, 245.65), (36.6, 245.65), (36.83, 248.91), (31.95, 249.6), (31.95, 254.49), (35.44, 254.26), (35.44, 257.98), (14.03, 259.84), (14.03, 254.96), (17.98, 254.26), (18.22, 250.07), (15.19, 249.84), (15.19, 245.42), (19.61, 245.18), (19.15, 242.39), (17.29, 242.39)], [(435.0, 267.0), (471.54, 307.15), (513.23, 268.94), (475.71, 227.94)]]",1
1,data/Delivery_1_Workzone/Day/Batch 1.2/Images/502_7f5c40a4a4277bf6e6bfad7679968e3208671eabe5e9199811d836e8e6a4e0821ecdf02f9810c3be2f9435b6d3dd1966ad34864e82de871f6525cb7c5ccceb7f_70.jpg,7f5c40a4a4277bf6e6bfad7679968e3208671eabe5e9199811d836e8e6a4e0821ecdf02f9810c3be2f9435b6d3dd1966ad34864e82de871f6525cb7c5ccceb7f,1,"[[(71.44, 312.07), (76.07, 308.6), (75.49, 263.44), (86.49, 264.59), (91.12, 305.7), (95.75, 309.18), (89.96, 314.97)], [(246.88, 257.54), (244.95, 243.06), (240.12, 243.06), (240.12, 260.43)], [(275.83, 247.89), (275.34, 232.45), (281.13, 232.45), (283.06, 246.92)], [(370.4, 206.88), (373.29, 222.8), (402.24, 221.35), (399.83, 207.36)], [(432.74, 323.07), (436.79, 319.6), (441.42, 273.86), (455.9, 275.02), (457.06, 321.92), (461.69, 325.97), (461.69, 330.02), (433.32, 331.76)], [(391.85, 270.89), (394.57, 269.34), (395.54, 247.62), (402.91, 247.82), (403.68, 270.5), (406.01, 273.03), (392.82, 273.03)], [(373.29, 253.68), (373.78, 234.86), (381.98, 234.86), (384.87, 253.2)]]",1
2,data/Delivery_1_Workzone/Day/Batch 1.2/Images/503_7f5c40a4a4277bf6e6bfad7679968e3208671eabe5e9199811d836e8e6a4e0821ecdf02f9810c3be2f9435b6d3dd1966ad34864e82de871f6525cb7c5ccceb7f_85.jpg,7f5c40a4a4277bf6e6bfad7679968e3208671eabe5e9199811d836e8e6a4e0821ecdf02f9810c3be2f9435b6d3dd1966ad34864e82de871f6525cb7c5ccceb7f,1,"[[(194.3, 281.67), (197.38, 256.26), (205.47, 255.43), (205.75, 279.44)], [(299.01, 253.19), (299.29, 239.79), (306.0, 239.79), (306.83, 254.03)], [(455.0, 287.0), (459.42, 254.89), (468.47, 255.23), (468.13, 287.73)], [(427.0, 261.0), (429.58, 245.57), (436.28, 245.85), (436.84, 262.04)], [(421.22, 403.73), (424.11, 382.31), (431.64, 384.04), (442.06, 311.09), (453.64, 308.77), (459.43, 312.83), (460.59, 385.78), (465.8, 386.36), (464.06, 405.47)], [(450.75, 131.59), (489.54, 133.91), (490.12, 130.44), (585.66, 139.7), (585.66, 144.33), (616.92, 145.49), (616.34, 237.55), (578.71, 234.66), (582.18, 258.4), (585.66, 259.56), (587.97, 274.03), (578.13, 274.03), (578.13, 303.56), (579.29, 307.61), (583.34, 308.77), (583.92, 312.25), (578.71, 314.56), (576.97, 340.04), (591.45, 335.99), (599.55, 341.2), (603.6, 349.88), (613.45, 349.88), (630.24, 357.99), (614.03, 367.25), (615.76, 409.52), (608.24, 410.1), (607.08, 375.94), (598.97, 377.1), (596.08, 390.99), (589.13, 394.47), (577.55, 393.31), (571.18, 371.31), (558.44, 371.31), (558.44, 374.2), (545.12, 375.36), (540.49, 374.2), (516.17, 373.62), (515.02, 383.46), (502.86, 385.2), (491.28, 382.31), (486.07, 407.2), (483.17, 417.63), (479.12, 422.84), (476.22, 422.26), (474.48, 401.41), (469.85, 393.31), (468.69, 370.15), (468.12, 359.72), (461.17, 355.67), (460.59, 340.04), (479.12, 338.88), (477.38, 308.77), (467.54, 305.88), (467.54, 300.09), (481.43, 300.09), (483.17, 228.29), (443.22, 225.97)]]",1
3,data/Delivery_1_Workzone/Day/Batch 1.2/Images/504_7f5c40a4a4277bf6e6bfad7679968e3208671eabe5e9199811d836e8e6a4e0821ecdf02f9810c3be2f9435b6d3dd1966ad34864e82de871f6525cb7c5ccceb7f_9.jpg,7f5c40a4a4277bf6e6bfad7679968e3208671eabe5e9199811d836e8e6a4e0821ecdf02f9810c3be2f9435b6d3dd1966ad34864e82de871f6525cb7c5ccceb7f,1,"[[(578.07, 364.66), (578.07, 310.13), (587.24, 306.76), (598.82, 361.28), (608.95, 369.96), (592.06, 373.82)], [(111.48, 258.5), (120.65, 257.54), (118.72, 276.36), (111.0, 276.84)], [(193.22, 226.78), (189.27, 226.31), (189.5, 223.05), (219.75, 223.29), (220.45, 226.78), (211.14, 226.78), (210.91, 230.04), (220.91, 229.57), (220.22, 234.92), (209.05, 233.76), (209.05, 237.25), (220.45, 237.25), (220.45, 242.37), (189.5, 242.6), (189.73, 238.18), (197.18, 237.25), (197.18, 234.22), (187.41, 233.99), (187.87, 229.57), (193.46, 229.1)], [(122.18, 245.97), (121.72, 228.99), (125.67, 228.52), (128.0, 246.67)], [(258.54, 252.26), (260.87, 232.48), (265.75, 232.71), (266.68, 254.12)], [(282.04, 245.04), (282.27, 228.06), (286.46, 228.29), (287.63, 245.74)], [(455.03, 322.68), (458.41, 322.68), (467.09, 275.87), (478.67, 275.39), (478.19, 326.06), (482.05, 331.85), (456.96, 332.81)], [(517.76, 295.17), (554.91, 348.25), (614.26, 300.97), (571.0, 244.0)], [(496.53, 337.15), (503.76, 336.67), (512.45, 285.04), (527.41, 287.94), (525.48, 337.64), (532.23, 346.32), (508.59, 349.7)], [(599.78, 374.79), (610.88, 375.27), (621.98, 307.72), (636.45, 306.76), (627.77, 375.75), (641.0, 384.0), (615.22, 386.37)]]",1
4,data/Delivery_1_Workzone/Day/Batch 1.2/Images/505_7f5c40a4a4277bf6e6bfad7679968e3208671eabe5e9199811d836e8e6a4e0821ecdf02f9810c3be2f9435b6d3dd1966ad34864e82de871f6525cb7c5ccceb7f_99.jpg,7f5c40a4a4277bf6e6bfad7679968e3208671eabe5e9199811d836e8e6a4e0821ecdf02f9810c3be2f9435b6d3dd1966ad34864e82de871f6525cb7c5ccceb7f,1,"[[(140.92, 299.33), (146.71, 298.76), (143.23, 265.75), (151.92, 264.59), (161.18, 298.76), (165.24, 299.33), (156.55, 302.81)], [(582.0, 240.0), (577.92, 292.49), (634.89, 301.52), (637.67, 248.02)], [(429.0, 279.66), (429.0, 279.66), (431.51, 279.38), (432.35, 248.11), (439.61, 247.55), (441.84, 277.15), (443.24, 280.5), (438.21, 281.34)], [(512.06, 353.18), (519.01, 351.45), (531.17, 292.97), (546.8, 291.23), (542.17, 349.13), (546.22, 362.45), (526.54, 363.6), (526.54, 363.6)]]",1
5,data/Delivery_1_Workzone/Day/Batch 1.2/Images/506_5d80e9b6974cb8be547ad9a98d774346390172b19f51c03e00dc3876225bf9c7461b8d551ad6c748819b1bebd0b68147fdd0e214dc5705ab4339a1d0b6590414_0.jpg,5d80e9b6974cb8be547ad9a98d774346390172b19f51c03e00dc3876225bf9c7461b8d551ad6c748819b1bebd0b68147fdd0e214dc5705ab4339a1d0b6590414,1,"[[(10.99, 341.25), (19.67, 336.04), (9.25, 288.56), (19.09, 289.14), (34.15, 336.62), (26.04, 345.31)], [(133.0, 258.0), (141.0, 259.0), (141.0, 274.0), (132.58, 274.09)], [(216.11, 270.73), (215.83, 244.76), (221.42, 242.25), (225.05, 268.77)], [(245.0, 261.0), (245.71, 241.97), (249.9, 241.13), (253.81, 262.35)], [(41.31, 246.16), (41.03, 237.5), (92.41, 235.55), (91.85, 244.48), (79.29, 244.76), (79.85, 252.3), (92.13, 251.46), (92.13, 258.72), (79.01, 259.28), (79.29, 264.03), (92.41, 263.47), (93.25, 271.57), (42.15, 270.17), (42.71, 264.59), (61.7, 263.47), (59.74, 257.33), (39.92, 257.6), (41.59, 250.07), (63.09, 251.18), (62.26, 245.04)], [(8.88, 269.0), (7.87, 248.89), (13.57, 248.56), (15.24, 269.33)], [(102.03, 256.6), (102.36, 239.85), (110.07, 239.18), (112.42, 257.27)], [(138.0, 253.0), (138.55, 237.5), (144.25, 236.5), (147.0, 252.0)], [(283.0, 250.0), (286.96, 234.55), (289.64, 234.55), (290.0, 249.0)], [(393.0, 264.0), (392.0, 241.0), (400.0, 242.0), (403.0, 263.0)]]",1
6,data/Delivery_1_Workzone/Day/Batch 1.2/Images/507_5d80e9b6974cb8be547ad9a98d774346390172b19f51c03e00dc3876225bf9c7461b8d551ad6c748819b1bebd0b68147fdd0e214dc5705ab4339a1d0b6590414_11.jpg,5d80e9b6974cb8be547ad9a98d774346390172b19f51c03e00dc3876225bf9c7461b8d551ad6c748819b1bebd0b68147fdd0e214dc5705ab4339a1d0b6590414,1,"[[(286.56, 250.23), (285.72, 233.48), (290.47, 232.92), (292.42, 250.23)], [(296.05, 246.6), (296.33, 231.8), (299.68, 232.08), (301.92, 246.88)], [(305.0, 246.0), (303.87, 231.25), (308.62, 230.97), (310.3, 244.37)], [(15.71, 221.19), (14.03, 202.76), (12.08, 201.09), (14.87, 195.78), (15.99, 175.68), (31.34, 175.4), (31.9, 172.61), (75.18, 170.37), (76.02, 172.89), (83.0, 173.45), (83.56, 226.78), (69.88, 229.01), (66.81, 270.9), (69.32, 273.69), (71.55, 274.53), (71.0, 277.6), (73.23, 284.86), (79.09, 283.46), (81.05, 288.49), (77.7, 290.16), (78.81, 297.14), (76.02, 299.1), (63.46, 302.17), (64.01, 309.15), (60.38, 317.25), (57.03, 318.37), (51.45, 318.09), (47.82, 315.01), (45.31, 303.57), (22.41, 300.22), (19.62, 309.99), (14.03, 312.22), (6.21, 307.2), (3.98, 297.14), (0.0, 294.91), (0.07, 289.05), (3.42, 290.16), (8.45, 285.97), (15.15, 282.07), (18.78, 281.79), (22.13, 282.34), (16.55, 268.94), (18.78, 268.66), (24.92, 280.67), (27.16, 273.69), (27.99, 260.84), (28.55, 249.95), (28.55, 239.06), (24.09, 238.51), (23.81, 235.43), (29.11, 234.88), (28.27, 228.45), (28.27, 223.99)], [(259.48, 257.49), (262.27, 239.62), (266.74, 239.06), (268.69, 258.33)], [(525.96, 446.4), (523.06, 435.98), (531.75, 423.82), (534.07, 422.66), (553.75, 336.39), (565.33, 330.02), (576.33, 334.07), (568.81, 423.24), (576.33, 430.19), (572.86, 445.24), (564.17, 452.77), (543.91, 453.35)], [(413.63, 288.33), (414.79, 287.17), (418.26, 258.8), (428.11, 258.8), (429.84, 286.02), (433.32, 289.49), (423.47, 294.7)], [(396.0, 268.0), (397.67, 258.89), (399.9, 247.16), (402.41, 247.16), (405.0, 263.0), (407.0, 268.0), (401.0, 269.0)]]",1
7,data/Delivery_1_Workzone/Day/Batch 1.2/Images/508_5d80e9b6974cb8be547ad9a98d774346390172b19f51c03e00dc3876225bf9c7461b8d551ad6c748819b1bebd0b68147fdd0e214dc5705ab4339a1d0b6590414_29.jpg,5d80e9b6974cb8be547ad9a98d774346390172b19f51c03e00dc3876225bf9c7461b8d551ad6c748819b1bebd0b68147fdd0e214dc5705ab4339a1d0b6590414,1,"[[(91.41, 287.48), (91.69, 265.7), (98.95, 264.31), (100.34, 280.5)], [(174.06, 261.79), (172.94, 254.25), (179.64, 248.11), (179.64, 262.07)], [(237.44, 257.33), (238.0, 236.66), (244.98, 234.71), (248.89, 256.77), (247.78, 259.84), (241.91, 260.4)], [(267.32, 251.18), (267.32, 234.15), (273.0, 234.0), (274.86, 250.9)], [(284.08, 249.23), (285.19, 235.55), (287.99, 233.59), (289.1, 249.51)], [(291.06, 247.55), (289.94, 232.19), (294.69, 231.64), (296.08, 248.39)], [(297.48, 245.88), (296.64, 231.36), (301.11, 229.4), (302.23, 247.83)], [(42.82, 264.03), (44.22, 241.13), (48.69, 239.18), (50.08, 264.31)], [(150.6, 255.93), (153.4, 234.43), (161.77, 234.71), (162.05, 256.77)], [(454.74, 283.12), (495.0, 332.0), (549.12, 284.28), (506.27, 229.85)]]",1
8,data/Delivery_1_Workzone/Day/Batch 1.2/Images/509_5d80e9b6974cb8be547ad9a98d774346390172b19f51c03e00dc3876225bf9c7461b8d551ad6c748819b1bebd0b68147fdd0e214dc5705ab4339a1d0b6590414_55.jpg,5d80e9b6974cb8be547ad9a98d774346390172b19f51c03e00dc3876225bf9c7461b8d551ad6c748819b1bebd0b68147fdd0e214dc5705ab4339a1d0b6590414,1,"[[(1.65, 342.5), (9.39, 334.76), (7.24, 282.73), (16.7, 282.3), (23.15, 335.19), (31.32, 336.48), (33.04, 339.92), (21.86, 345.94)], [(225.96, 246.09), (234.42, 245.84), (234.17, 266.24), (228.2, 265.5)], [(271.0, 250.57), (271.74, 237.38), (275.72, 237.38), (277.96, 250.82)], [(373.77, 207.36), (371.87, 222.22), (404.87, 224.12), (404.52, 207.88)], [(457.0, 360.13), (467.32, 359.27), (476.35, 296.06), (487.96, 296.06), (490.97, 360.13), (500.43, 372.6), (466.89, 376.04)], [(400.06, 281.06), (401.25, 278.38), (402.74, 254.19), (410.21, 253.59), (411.1, 280.17), (413.79, 281.36), (414.09, 284.35), (399.76, 284.05)], [(378.49, 261.02), (378.24, 244.35), (386.7, 243.1), (387.45, 260.77)]]",1
9,data/Delivery_1_Workzone/Day/Batch 1.2/Images/510_5d80e9b6974cb8be547ad9a98d774346390172b19f51c03e00dc3876225bf9c7461b8d551ad6c748819b1bebd0b68147fdd0e214dc5705ab4339a1d0b6590414_69.jpg,5d80e9b6974cb8be547ad9a98d774346390172b19f51c03e00dc3876225bf9c7461b8d551ad6c748819b1bebd0b68147fdd0e214dc5705ab4339a1d0b6590414,1,"[[(190.41, 287.07), (195.76, 283.81), (196.92, 251.93), (203.21, 250.54), (205.07, 270.08), (204.84, 287.3), (198.09, 289.63)], [(427.52, 260.31), (429.62, 246.58), (433.34, 244.49), (437.06, 261.94)], [(455.98, 283.79), (457.84, 252.14), (464.12, 249.35), (467.61, 251.44), (466.68, 286.35), (468.31, 287.74), (454.35, 287.51)], [(422.9, 404.13), (423.47, 381.55), (430.42, 382.13), (442.0, 311.49), (448.37, 308.6), (458.79, 310.34), (461.69, 319.6), (458.79, 383.87), (464.0, 384.45), (462.85, 405.87)], [(469.79, 226.38), (469.79, 214.8), (452.42, 213.64), (455.32, 202.64), (446.63, 201.48), (450.69, 130.84), (489.48, 134.32), (490.06, 128.53), (580.97, 136.63), (580.97, 140.69), (620.34, 146.48), (616.86, 237.38), (582.12, 237.96), (581.54, 255.33), (586.76, 257.07), (586.18, 270.96), (576.91, 272.7), (576.91, 303.39), (576.33, 338.71), (593.7, 336.97), (594.28, 336.39), (601.23, 342.18), (604.7, 356.66), (612.81, 363.03), (613.39, 368.24), (614.55, 410.5), (609.34, 411.08), (607.02, 375.76), (598.34, 376.92), (598.91, 391.4), (597.18, 395.45), (583.28, 395.45), (572.86, 387.92), (572.86, 371.71), (559.54, 371.71), (558.96, 375.76), (545.65, 376.34), (543.33, 375.18), (513.22, 373.45), (513.8, 382.71), (502.8, 383.87), (497.01, 378.66), (492.38, 378.66), (492.38, 398.34), (487.74, 401.82), (469.22, 397.19), (466.32, 380.97), (470.37, 348.55), (462.85, 350.29), (463.43, 341.6), (477.32, 338.13), (479.06, 309.76), (466.32, 303.39), (471.53, 298.76), (479.64, 305.12), (483.69, 228.12)], [(299.42, 251.42), (299.61, 235.52), (305.23, 235.14), (306.59, 251.62)]]",1
